"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool","bool"
179,665,1,3,"","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop an additional Reward Type\r\nArea has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 83",[],"","",[],[],5000,"Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 2 additional random Modifiers\r\n200% increased Experience Gain\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 83","","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","",""
180,666,1,3,"","Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","","Travel to Xoph's Domain by using this item in a personal Map Device. Can only be used once.","",""
181,667,1,3,"","Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","","Travel to Tul's Domain by using this item in a personal Map Device. Can only be used once.","",""
182,668,1,3,"","Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","","Travel to Esh's Domain by using this item in a personal Map Device. Can only be used once.","",""
183,669,1,3,"","Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","","Travel to Uul-Netol's Domain by using this item in a personal Map Device. Can only be used once.","",""
184,670,1,3,"","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","","Rare Monsters drop 2 additional Reward Types\r\nArea has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n60% increased Rarity of Items found in this Area\r\n60% increased Pack Size\r\nMonster Level: 84",[],"","",[],[],5000,"Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.",0,[],[],[],1,"Area has 4 additional random Modifiers\r\n200% increased Experience Gain\r\n250% more Monster Life\r\n30% increased Rarity of Items found in this Area\r\n30% increased Pack Size\r\nMonster Level: 84","","Travel to Chayula's Domain by using this item in a personal Map Device. Can only be used once.","",""
185,671,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
186,672,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
187,673,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
188,674,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
189,675,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
190,676,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters Regenerate 1% of Life per second for each time they have been Revived\r\nMonsters gain +20% chance to Avoid being Stunned for each time they are Revived\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
191,677,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters gain 10% increased Attack and Cast Speed each time they are Revived\r\nMonsters gain 10% increased Movement Speed each time they are Revived\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
192,678,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters gain 50% increased Critical Strike Chance each time they are Revived\r\nMonsters gain 3% additional Critical Strike Multiplier each time they are Revived\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
193,679,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters gain 4% additional Physical Damage Reduction each time they are Revived\r\nMonsters gain 4% additional Resistances each time they are Revived\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
194,680,1,3,"","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","","Monsters gain 10% increased Maximum Life each time they are Revived\r\nMonsters Penetrate 4% of Enemy Resistances for each time they have been Revived\r\nMonsters Overwhelm 4% of Physical Damage Reduction for each time they have been Revived\r\n10% improved Rewards",[],"","",[],[],5000,"Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.",0,[],[],[],"","","","Place two or more different Emblems in a Map Device to access the Domain of Timeless Conflict. Can only be used once.","",""
195,682,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth.","","",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth.",0,[],[],[],"","","","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth.","",""
196,683,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Fortune.","","",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Fortune.",0,[],[],[],"","","","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Fortune.","",""
197,684,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Opportunity.","","",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Opportunity.",0,[],[],[],"","","","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Opportunity.","",""
198,685,1,3,"","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Potential.","","",[],"","",[],[],5000,"Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Potential.",0,[],[],[],"","","","Travel to the Aspirants' Plaza and spend this item to open the Eternal Labyrinth of Potential.","",""
199,686,1,3,"","Travel to the Crux of Nothingness by using this item at The Realmgate. Can only be used once.","","",[],"","",[],[],5000,"Travel to the Crux of Nothingness by using this item at The Realmgate. Can only be used once.",0,[],[],[],"","","","Travel to the Crux of Nothingness by using this item at The Realmgate. Can only be used once.","",""
200,681,1,3,"","Open a Delirium portal by using this item at The Realmgate. Can only be used once.","","",[],"","",[],[],5000,"Open a Delirium portal by using this item at The Realmgate. Can only be used once.",0,[],[],[],"","","","Open a Delirium portal by using this item at The Realmgate. Can only be used once.","",""
201,1186,1,3,"","Open a portal to Absence of Mercy and Empathy by using this item in a personal Map Device. Can only be used once.","","",[],"","",[],[],5000,"Open a portal to Absence of Mercy and Empathy by using this item in a personal Map Device. Can only be used once.",0,[],[],[],"","","","Open a portal to Absence of Mercy and Empathy by using this item in a personal Map Device. Can only be used once.","",""
202,1187,10,3,"","Combine 10 Crescent Splinters to create The Maven's Writ.",1186,"",[],"","",[],[],0,"Combine 10 Crescent Splinters to create The Maven's Writ.",0,[],[],[],"","","","Combine 10 Crescent Splinters to create The Maven's Writ.","",""
203,1214,1,3,"","Open a portal to the Sacred Grove by using this item in a personal Map Device. Can only be used once.","","",[],"","",[],[],5000,"Open a portal to the Sacred Grove by using this item in a personal Map Device. Can only be used once.",0,[],[],[],"","","","Open a portal to the Sacred Grove by using this item in a personal Map Device. Can only be used once.","",""
204,141,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Architect's Hand to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Architect's Hand to transform it.","",""
205,142,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Mask of the Spirit Drinker to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Mask of the Spirit Drinker to transform it.","",""
206,143,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Apep's Slumber to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Apep's Slumber to transform it.","",""
207,144,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Dance of the Offered to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Dance of the Offered to transform it.","",""
208,145,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Story of the Vaal to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Story of the Vaal to transform it.","",""
209,146,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Coward's Chains to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Coward's Chains to transform it.","",""
210,147,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Soul Catcher to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Soul Catcher to transform it.","",""
211,148,10,3,"","Sacrifice this item on the Altar of Sacrifice along with any Tempered Flesh, Tempered Spirit or Tempered Mind to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with any Tempered Flesh, Tempered Spirit or Tempered Mind to transform it.","",""
212,149,10,3,"","Sacrifice this item on the Altar of Sacrifice along with Sacrificial Heart to transform it. ","","",[],"","",[],[],5000,"",0,[],[],[],"","","","Sacrifice this item on the Altar of Sacrifice along with Sacrificial Heart to transform it.","",""
213,150,20,3,"","Place in a Resonator to influence item crafting.","","More Fire modifiers\r\nNo Cold modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
214,151,20,3,"","Place in a Resonator to influence item crafting.","","More Cold modifiers\r\nNo Fire modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
215,152,20,3,"","Place in a Resonator to influence item crafting.","","More Lightning modifiers\r\nNo Physical modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
216,153,20,3,"","Place in a Resonator to influence item crafting.","","More Physical modifiers\r\nNo Chaos modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
217,154,20,3,"","Place in a Resonator to influence item crafting.","","More Chaos modifiers\r\nNo Lightning modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
218,155,20,3,"","Place in a Resonator to influence item crafting.","","More Life modifiers\r\nNo Defence modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
219,156,20,3,"","Place in a Resonator to influence item crafting.","","More Defence modifiers\r\nNo Life Modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
220,157,20,3,"","Place in a Resonator to influence item crafting.","","More Physical Ailment or Chaos Ailment modifiers\r\nNo Elemental modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
221,158,20,3,"","Place in a Resonator to influence item crafting.","","More Elemental modifiers\r\nNo Physical Ailment or Chaos Ailment modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
222,159,20,3,"","Place in a Resonator to influence item crafting.","","More Caster modifiers\r\nFewer Attack modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
223,160,20,3,"","Place in a Resonator to influence item crafting.","","More Attack modifiers\r\nFewer Caster modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
224,161,20,3,"","Place in a Resonator to influence item crafting.","","More Mana modifiers\r\nNo Speed modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
225,162,20,3,"","Place in a Resonator to influence item crafting.","","More Speed modifiers\r\nNo Mana modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
226,163,20,3,"","Place in a Resonator to influence item crafting.","","More Minion, Aura or Curse modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
227,164,20,3,"","Place in a Resonator to influence item crafting.","","Improved Quality",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
228,165,20,3,"","Place in a Resonator to influence item crafting.","","More Critical modifiers\r\nNo Attribute modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
229,166,20,3,"","Place in a Resonator to influence item crafting.","","More Attribute modifiers\r\nNo Critical modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
230,167,10,3,"","Place in a Resonator to influence item crafting.","","More Gem modifiers",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
231,168,10,3,"","Place in a Resonator to influence item crafting.","","Corrupted\r\nHas a Corrupted implicit modifier",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
232,169,10,3,"","Place in a Resonator to influence item crafting.","","Has an Abyssal socket",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
233,170,10,3,"","Place in a Resonator to influence item crafting.","","Creates a split copy. Cannot be used to split Influenced,\r\nEnchanted, Fractured, or Synthesised items.",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
234,171,10,3,"","Place in a Resonator to influence item crafting.","","Has a Corrupt Essence modifier",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
235,172,10,3,"","Place in a Resonator to influence item crafting.","","Makes a random modifier type much more likely and prevents \r\nanother random modifier type. Effects revealed once resonator is\r\nfully socketed.",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
236,173,10,3,"","Place in a Resonator to influence item crafting.","","Numeric modifier values are lucky\r\nHigh Level modifiers are more common",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
237,174,10,3,"","Place in a Resonator to influence item crafting.","","Item is overvalued by vendors",[],"","",[],[],5000,"",0,[],[],[],"","","","Place in a Resonator to influence item crafting.","",""
238,175,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
239,176,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
240,177,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
241,178,1,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
242,179,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
243,180,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
244,181,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
245,182,1,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
246,183,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
247,184,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
248,185,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
249,186,10,2,"delve_currency_upgrade","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal item to apply it.",0,[],[],[],"","","","Drag this item onto a normal item to apply it.","",""
250,187,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
251,188,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
252,189,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
253,190,10,2,"delve_currency_reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers","[7552,8154]","","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a rare item to apply it.",0,[],[],[],"","","","Drag this item onto a rare item to apply it.","",""
254,714,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Essence item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
255,715,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Currency item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
256,716,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Unique item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
257,717,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Map item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
258,718,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Unique Map item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
259,719,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Rare Abyss item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
260,720,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Fragment item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
261,721,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Scarab item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
262,722,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Essence item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
263,723,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Fossil item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
264,724,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Expedition item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
265,725,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds incubated Stacked Decks to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
266,726,1,2,"apply_incubator","Right click this item then left click an item to apply it. The Incubated item drops after killing a specific number of monsters.","","Adds an incubated Talisman item to an equippable item\r\nItem drops after killing {0} monsters",[],"","",[],[],0,"<<xbox_button_x>> to use, then <<xbox_button_a>> on an item to apply it. The Incubated item drops after killing a specific number of monsters.",0,[],[],[],"","","","Drag this item onto an item to apply it. The Incubated item drops after killing a specific number of monsters.","",""
