"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
160,"AmmoConservation","Ammo Conservation","Conservation de munitions","Munitionsverwaltung","弾薬温存","탄약 보존","Preservar Munição","Сохранение боеприпаса","Conservación de munición","Ammo Conservation","彈藥保存"
161,"NimbleReload","Nimble Reload","Rechargement rapide","Flinkes Nachladen","高速装填","가뿐한 재장전","Recarregamento Ágil","Ловкая перезарядка","Recarga veloz","Nimble Reload","靈活裝填"
162,"FreshClip","Fresh Clip","Chargeur flambant neuf","Neues Magazin","新弾倉","새 탄창","Pente Novo","Сменный магазин","Peine recargado","Fresh Clip","全新彈夾"
163,"SacrificialLamb","Sacrificial Lamb","Agneau sacrificiel","Opferlamm","生贄の子羊","희생양","Cordeiro Sacrificial","Агнец на заклание","Chivo expiatorio","Sacrificial Lamb","獻祭羔羊"
164,"IronWill","Iron Will","Volonté de fer","Eiserner Wille","アイアンウィル","강철의 의지","Determinação Férrea","Железная воля","Voluntad férrea","Iron Will","鋼鐵意志"
165,"IronGrip","Iron Grip","Poigne de fer","Eiserner Griff","アイアングリップ","강철 손아귀","Pegada de Ferro","Железная хватка","Apretón férreo","Iron Grip","堅鐵之力"
166,"Fissures","Fissures","Fissures","Spalten","亀裂","균열","Fendas","Расселины","Fisuras","Fissures","裂縫"
167,"Aftershock","Aftershock","Réplique","Nachbeben","余震","여진","Tremor Secundário","Остаточная волна","Réplica","Aftershock","餘震"
168,"LastingGround","Lasting Ground","Sol durable","Andauernder Boden","領域持続","오래가는 지대","Chão Duradouro","Долговременная земля","Suelo duradero","Lasting Ground","持續性地面"
169,"Ricochet","Ricochet","Rebond","Querschläger","跳弾","튕겨 쏘기","Ricochete","Рикошет","Rebote","Ricochet","彈射"
170,"UrgentTotems","Urgent Totems","Vélocité totémique","Dringende Totems","トーテム高速設置","긴급한 토템","Totens Emergenciais","Спешные тотемы","Tótems urgentes","Urgent Totems","應急圖騰"
171,"LongFuse","Long Fuse","Amorce longue","Langer Zünder","遅延起爆","긴 퓨즈","Detonação Lenta","Длинный запал","Mecha larga","Long Fuse","長引線"
172,"Payload","Payload","Déflagration successive","Sprengladung","二重起爆","화물","Ogiva","Боезаряд","Carga","Payload","承載"
173,"PotentExposure","Potent Exposure","Exposition intensifiée","Potente Anfälligkeit","曝露ブースト","효력 있는 노출","Exposição Poderosa","Сильная восприимчивость","Exposición potente","Potent Exposure","強力曝曬"
174,"ReinforcedTotems","Reinforced Totems","Totems renforcés","Verstärkte Totems","トーテム補強","보강된 토템","Totens Reforçados","Укреплённые тотемы","Tótems reforzados","Reinforced Totems","加強圖騰"
175,"ConsideredCasting","Considered Casting","Incantation réfléchie","Überlegtes Zaubern","熟考詠唱","신중한 시전","Conjuração Calculada","Вдумчивое сотворение","Lanzamiento calculado","Considered Casting","細思施法"
176,"Icicle","Icicle","Stalagmite","Eiszapfen","氷柱","고드름","Sincelo","Сосулька","Carámbano","Icicle","冰柱"
177,"Glacier","Glacier","Glacier","Gletscher","氷塊","빙하","Geleira","Ледник","Glaciar","Glacier","冰河"
178,"Heft","Heft","Impact lourd","Muskelkraft","重撃","중량","Robustez","Тяжесть","Peso","Heft","分量"
179,"RisingTempest","Rising Tempest","Tempête grandissante","Zunehmender Sturm","嵐の連鎖","밀려오는 폭풍","Tempestade Ascendente","Поднимающийся шквал","Tempestad creciente","Rising Tempest","崛起風暴"
180,"Extraction","Extraction","Extraction","Extraktion","ライフ抽出","추출","Extração","Извлечение","Extracción","Extraction","提取"
181,"AstralProjection","Astral Projection","Projection astrale","Astrale Projektion","アストラルプロジェクション","우주의 영사","Projeção Astral","Астральная проекция","Proyección astral","Astral Projection","星空投影"
182,"PracticedCombo","Practiced Combo","Enchaînement maîtrisé","Geübte Kombo","手慣れたコンボ","숙련된 연계","Combo Ensaiado","Отработанный приём","Combo practicado","Practiced Combo","熟練連擊"
183,"Leverage","Leverage","Levier","Hebelwirkung","レバレッジ","지렛대 효과","Trunfo","Перевес","Ventaja","Leverage","槓桿"
184,"Culmination","Culmination","Culmination","Krönender Abschluss","究極の一撃","고조","Auge","Кульминация","Culminación","Culmination","頂點"
185,"Potential","Potential","Potentiel","Potential","ポテンシャル","잠재력","Potencial","Потенциал","Potencial","Potential","潛力"
186,"GrantsCooldown","Grants Cooldown","Octroie des Charges d'utilisation","Gewährt Abklingzeit","クールダウン付与","재사용 대기시간 부여","Concede Intervalo de Recarga","Дарует перезарядку","Otorga enfriamiento","Grants Cooldown","賦予冷卻"
187,"EnergyRetention","Energy Retention","Rétention d'énergie","Energiespeicherung","エネルギー温存","에너지 유지","Retenção de Energia","Сохранение энергии","Retención de energía","Energy Retention","能量保留"
188,"Ferocity","Ferocity","Férocité","Wildheit","獰猛","흉포함","Ferocidade","Дикость","Ferocidad","Ferocity","狂暴"
189,"SacrificalOffering","Sacrificial Offering","Offrande sacrificielle","Opfergabe","犠牲のオファリング","희생의 공물","Oferenda Sacrificial","Жертвенное подношение","Ofrenda sacrificial","Sacrificial Offering","犧牲奉獻"
190,"DanseMacabre","Danse Macabre","Danse macabre","Totentanz","死の舞踏","섬뜩한 무도","Dança Macabra","Пляска смерти","Danza macabra","Danse Macabre","骷髏之舞"
191,"EnergyCapacitor","Energy Capacitor","Condensateur d'énergie","Energiekondensator","エネルギーキャパシタ","에너지 축전기","Capacitor de Energia","Накопитель энергии","Condensador de energía","Energy Capacitor","儲能"
192,"BoundlessEnergy","Boundless Energy","Énergie inépuisable","Grenzenlose Energie","無尽蔵のエネルギー","무한한 에너지","Energia Abundante","Безграничная энергия","Energía ilimitada","Boundless Energy","無盡能量"
193,"HarmonicRemnants","Harmonic Remnants","Reliquats harmonieux","Harmonische Überreste","共鳴のレムナント","조화로운 잔류물","Vestígios Harmônicos","Манящие сгустки","Remanentes armónicos","Harmonic Remnants","和諧的痕跡"
194,"Fluke","Fluke","Fluctuation","Zufall","偶発トリガー","요행","Acaso","Разброс","Casualidad","Fluke","僥倖"
195,"Zenith","Zenith","Zénith","Zenit","ゼニス","북극성","Zênite","Зенит","Cénit","Zenith","極盛"
196,"Bidding","Bidding","Exigences","Auf Geheiß","命令","지시","Ordem","Приказ","Comando","Bidding","出價"
197,"Flow","Flow","Rythme","Energiefluss","コンボ継続","흐름","Fluxo","Поток","Flujo","Flow","流動"
198,"Commandment","Commandment","Commandement","Gehorsam","命令集中","율령","Mandamento","Повеление","Mandamiento","Commandment","誡命"
199,"AdhesiveGrenades","Adhesive Grenades","Grenades adhésives","Haftgranaten","粘着グレネード","접착 유탄","Granadas Aderentes","Гранаты-липучки","Granadas adhesivas","Adhesive Grenades","黏性擲彈"
200,"Retaliate","Retaliate","Riposte","Vergelten","逆襲","보복","Retaliação","Возмездие","Represalia","Retaliate","報復"
201,"Tremors","Tremors","Secousses","Erschütterungen","余震追加","진동","Tremores","Дрожь","Temblores","Tremors","威震"
202,"Salvo","Salvo","Salve","Salve","サルヴォ","포화","Salva","Шквал","Salva","Salvo","齊射"
203,"Cadence","Cadence","Cadence","Kadenz","ケイデンス","운율","Cadência","Ритм","Cadencia","Cadence","終止"
204,"Volt","Volt","Survoltage","Volt","ボルト","전압","Voltagem","Разряд","Voltio","Volt","電壓"
205,"BoneShrapnel","Bone Shrapnel","Shrapnel d'os","Knochensplitter","ボーンシュラプネル","뼈 파편","Estilhaços Ósseos","Костяная шрапнель","Metralla de hueso","Bone Shrapnel","骨片"
206,"Alignment","Alignment","Alignement","Übereinstimmung","方向一致","정렬","Alinhamento","Сонаправленность","Alineación","Alignment","聯合"
207,"Derange","Derange","Perturbation","Entstellen","知性代償","분란","Perturbação","Разлад","Enloquecer","Derange","精神錯亂"
208,"ChargedShots","Charged Shots","Tirs chargés","Aufgeladene Schüsse","チャージショット","충전 사격","Disparos Carregados","Заряженные выстрелы","Disparos cargados","Charged Shots","充能射擊"
209,"Profanity","Profanity","Sacrilège","Profanität","死体冒涜","불경","Profanação","Нечестивость","Obscenidad","Profanity","褻瀆"
210,"Burgeon","Burgeon","Épanouissement","Gedeihen","チャネリング蓄積","급성장","Florescimento","Разрастание","Florecimiento","Burgeon","萌發"
211,"Steadfast","Steadfast","Indéfectible","Unerschütterlich","チャネリング中頑強","요지부동","Firmeza","Устойчивость","Inalterable","Steadfast","穩若泰山"
212,"Flamepierce","Flamepierce","Transperce-flammes","Flammende Durchbohrung","発火貫通","화염관통","Furachama","Пронзание пламени","Perforación de llamas","Flamepierce","烈焰穿透"
213,"Freezefork","Freezefork","Scinde-gel","Einfrierendes Aufgabeln","凍結分岐","동결갈래","Bifurcagelo","Морозное разветвление","Bifurcación helada","Freezefork","冰凍之叉"
214,"Stormchain","Stormchain","Ricoche-tempête","Sturmkette","感電連鎖","폭풍연쇄","Propagatormenta","Грозовая цепь","Cadena de tormentas","Stormchain","風暴之鏈"
215,"Verglas","Verglas","Verglas","Glaseis","氷の結晶破壊","베르글라","Gelo Vítreo","Иней","Escarcha","Verglas","冰淞"
216,"Embitter","Embitter","Rancœur","Erzittern","冷気獲得","혹독","Amargura","Охлаждение","Amargar","Embitter","激怒"
217,"Battershout","Battershout","Hurlement percutant","Kriegsgebrüll","破壊のウォークライ","구타하는 고함","Clamor Explosivo","Крушащий крик","Grito vapuleador","Battershout","猛擊吶喊"
218,"Nadir","Nadir","Nadir","Nadir","下限","나락","Fundo Absoluto","Надир","Nadir","Nadir","消沉"
219,"PinpointCritical","Pinpoint Critical","Critiques névralgiques","Kritisch festsetzen","クリティカル集中","핵심 조준 치명타","Crítico Cirúrgico","Точечные критические удары","Detectar punto crítico","Pinpoint Critical","精確暴擊"
220,"EncroachingGround","Encroaching Ground","Sol envahissant","Übergreifender Boden","侵蝕する領域","잠식하는 지대","Chão Alastrante","Охватывающая земля","Suelo expansivo","Encroaching Ground","進逼地面"
221,"AbidingHex","Abiding Hex","Calamité durable","Verweilender Fluch","持続する呪術","변치 않는 사술","Feitiço Persistente","Подчиняющая порча","Maleficio duradero","Abiding Hex","永久咒術"
222,"RustedSpikes","Rusted Spikes","Pointes rouillées","Verrostete Stacheln","錆びた棘","녹슨 가시","Estacas Enferrujadas","Ржавые шипы","Pinchos oxidados","Rusted Spikes","銹蝕尖刺"
223,"CrazedMinions","Crazed Minions","Créatures frénétiques","Verrückte Kreaturen","狂乱のミニオン","미쳐버린 소환수","Lacaios Alucinados","Шальные приспешники","Esbirros enloquecidos","Crazed Minions","發狂召喚物"
224,"SpectralVolley","Spectral Volley","Volée spectrale","Spektralvolley","スペクトラルボレー","영체 사격 공세","Saraivada Espectral","Призрачный залп","Salva espectral","Spectral Volley","靈體齊射"
225,"Rally","Rally","Mobilisation","Erholung","戦意高揚","집결","Inspiração","Ободрение","Incitación","Rally","集結"
226,"Hoarfrost","Hoarfrost","Givre","Raureif","霜化","흰서리","Rugido Gélido","Изморозь","Helada blanca","Hoarfrost","白霜"
227,"Deathmarch","Deathmarch","Marche macabre","Todesmarsch","死亡時支援","죽음의 행군","Marcha Fúnebre","Марш смерти","Marcha mortal","Deathmarch","死亡行進"
228,"Acrimony","Acrimony","Acrimonie","Verbitterung","蝕み","신랄","Acrimônia","Едкость","Acritud","Acrimony","毒辣"
229,"Concoct","Concoct","Philtre","Zusammenbrauen","出血薬品","배합","Preparação","Варево","Elaboración de sustancias","Concoct","調製"
230,"Ambrosia","Ambrosia","Ambroisie","Ambrosia","電撃薬品","암브로시아","Ambrosia","Амброзия","Ambrosía","Ambrosia","仙饌美酒"
231,"PersistentGround","Persistent Ground","Sol tenace","Beständiger Boden","永続領域","유지되는 대지","Chão Persistente","Постоянная земля","Suelo persistente","Persistent Ground","持續地面"
232,"SelflessRemnants","Selfless Remnants","Reliquats altruistes","Selbstlose Überreste","献身のレムナント","이타적인 잔류물","Vestígios Generosos","Беззаветные сгустки","Remanentes altruistas","Selfless Remnants","無私痕跡"
233,"RemnantPower","Remnant Potency","Efficacité des Reliquats","Potente Überreste","レムナントブースト","잔류물 효력","Potência dos Vestígios","Мощные останки","Potencia de remanentes","Remnant Potency","痕跡強度"
234,"Reverberate","Reverberate","Répercussion","Nachhall","余震増幅","울림","Reverberação","Реверберация","Reverberación","Reverberate","回響"
235,"Clash","Clash","Confrontation","Zusammenstoß","死闘","격돌","Confronto","Стычка","Choque","Clash","交鋒"
236,"Malady","Malady","Maladie","Leiden","毒血交換","질병","Moléstia","Хворь","Padecimiento","Malady","疾病"
237,"Dazzle","Dazzle","Stupeur","Benommenheit","目眩まし","현란","Deslumbramento","Вспышка","Encandilamiento","Dazzle","目眩"
238,"Syzygy","Syzygy","Syzygie","Syzygie","天体直列","삭망","Sizígia","Сизигия","Sizigia","Syzygy","朔望"
239,"Unyielding","Unyielding","Obstination","Unnachgiebig","不屈のライフ回収","완고","Inabalável","Непреклонность","Obstinado","Unyielding","屹立不搖"
240,"Desperation","Desperation","Détresse","Hoffnungslosigkeit","必死の一撃","필사","Desespero","Безысходность","Desesperación","Desperation","絕望"
241,"Overextend","Overextend","Surmenage","Übernehmen","無理の代償","무리","Superextensão","Перенапряжение","Prolongación","Overextend","過分擴張"
242,"Excoriate","Excoriate","Excoriation","Wundscheuern","追い打ち","박피","Esfolamento","Содранная кожа","Excoriación","Excoriate","痛斥"
243,"Unbending","Unbending","Rigueur","Unbeugsam","不動の詠唱","부동","Inflexibilidade","Несгибаемость","Inflexible","Unbending","永不屈服"
244,"Retreat","Retreat","Repli","Rückzug","後退","퇴각","Recuo","Отступление","Retirada","Retreat","撤退"
245,"Pursuit","Pursuit","Poursuite","Verfolgung","追撃","추격","Busca","Погоня","Persecución","Pursuit","追擊"
246,"Commiserate","Commiserate","Compassion","Bedauern","状態異常転嫁","동정","Compadecimento","Сострадание","Compadecimiento","Commiserate","憐憫"
247,"Blindside","Blindside","Angle mort","Blindflug","死角攻撃","맹점 공략","Ataque Surpresa","Удар врасплох","Punto ciego","Blindside","偷襲"
248,"HitAndRun","Hit and Run","Escarmouche","Zuschlagen und Zurückziehen","ヒットエンドラン\r\n","치고 빠지기","Bater e Correr","Удар с разбега","Ataque y retirada","Hit and Run","打帶跑"
249,"CracklingBarrier","Crackling Barrier","Barrière crépitante","Knisternde Barriere","帯電バリア\t","치직대는 방벽","Barreira Crepitante","Искрящий барьер","Barrera electrificada","Crackling Barrier","電流屏障"
250,"Defy","Defy","Surpassement","Trotzen","幸運の反抗","거역","Oposição","Неповиновение","Desafío","Defy","違抗"
251,"Volatility","Volatility","Volatilité","Instabilität","ボラティリティ","일촉즉발","Volatilidade","Нестабильность","Volatilidad","Volatility","易爆"
252,"Muster","Muster","Attroupement","Zusammentreiben","招集","결집","Reunião","Сборище","Congregación","Muster","召集"
253,"HulkingMinions","Hulking Minions","Créatures colossales","Gewaltige Kreaturen","ミニオン巨大化","육중한 소환수","Lacaios Corpulentos","Громадные приспешники","Esbirros descomunales","Hulking Minions","巨大召喚物"
254,"Caltrops","Caltrops","Chausse-trappes","Wurfeisen","マキビシ","마름쇠","Estrepes","Кальтропы","Abrojos","Caltrops","蒺藜"
255,"Haemocrystals","Haemocrystals","Hémocristaux","Blutkristalle","血の結晶","혈액수정","Hemocristais","Гемокристаллы","Hemocristales","Haemocrystals","血晶"
256,"Spar","Spar","Affrontement","Rauferei","スパーリング","대련","Duelo","Спарринг","Lucha","Spar","打擊練習"
257,"Dauntless","Dauntless","Intrépide","Furchtlos","断固の一撃","대담","Intrepidez","Бесстрашие","Intrépido","Dauntless","無畏"
258,"Magnetism","Magnetism","Magnétisme","Magnetismus","磁力","자력","Magnetismo","Магнетизм","Magnetismo","Magnetism","磁力"
259,"AncestralCall","Ancestral Call","Appel ancestral","Ruf der Ahnen","アンセストラルコール","선대의 부름","Convocação Ancestral","Зов предков","Llamado ancestral","Ancestral Call","先祖怒嚎"
260,"QuillBurst","Quill Burst","Explosion épineuse","Dornenexplosion","クイルバースト","가시 격발","Rajada de Cálamos","Взрыв игл","Estallido de espinas","Quill Burst","驟羽爆發"
261,"UnsteadyTempo","Unsteady Tempo","Tempo instable","Unstetiges Tempo","アンステディテンポ","불안정한 속도","Ritmo Instável","Неровный темп","Tempo inestable","Unsteady Tempo","不穩節奏"
262,"TitanicArrows","Titanic Arrows","Flèches titanesques","Titanenpfeile","タイタニックアロー","거대 화살","Flechas Titânicas","Титанические стрелы","Flechas titánicas","Titanic Arrows","泰坦之箭"
263,"DeadlyHeralds","Deadly Heralds","Hérauts mortels","Tödliche Herolde","デッドリーヘラルド","치명적인 전령","Arautos Mortais","Смертоносные Вестники","Emisarios mortales","Deadly Heralds","致命先驅"
264,"EssenceHarvest","Essence Harvest","Moisson d'essence","Essenzernte","魂の収穫","정수 수확","Colheita de Essência","Жатва сущности","Extracción de esencia","Essence Harvest","精髓收割"
265,"ShockingLeap","Shocking Leap","Bond électrocutant","Schockender Sprung","感電のジャンプ","감전 도약","Salto Eletrificante","Шокирующий прыжок","Shocking Leap","Shocking Leap","震擊之躍"
266,"Barbs","Barbs","Barbelés","Widerhaken","棘による報復","미늘","Farpas","Колючки","Púas","Barbs","倒刺"
267,"Rime","Rime","Gelée","Reif","氷霜","흰서리","Geada","Стужа","Helada","Rime","霧淞"
268,"ArmsLength","Arms' Length","Recul","Armlänge","間合い保持","거리 유지","Curto Alcance","На длину руки","Poner distancia","Arms' Length","疏遠之臂"
269,"Thornskin","Thornskin","Peau épineuse","Dornenhaut","棘皮","가시피부","Pelespinho","Шипастая кожа","Piel de espinas","Thornskin","荊棘之皮"
270,"Mysticism","Mysticism","Mysticisme","Mystizismus","秘術の障壁","신비주의","Misticismo","Мистицизм","Misticismo","Mysticism","秘術"
271,"Direstrike","Direstrike","Frappe déséspérée","Verhängnisvoller Schlag","ダイアストライク","극한타격","Golpe Cruel","Отчаянный удар","Golpe desesperado","Direstrike","極惡打擊"
272,"Upwellling","Upwellling","Remontée","Aufquellen","溢れる魔力の加護","용승","Ressurgência","Всплеск","Afloramiento","Upwellling","湧升流"
273,"WarmBlooded","Warm Blooded","Sang chaud","Warmblüter","温血","따뜻한 피","Sangue Quente","Теплокровность","Sangre caliente","Warm Blooded","滿腔熱血"
274,"CoolHeaded","Cool Headed","Tête froide","Nervenstark","冷血","차가운 머리","Mente Tranquila","Хладнокровие","Sangre fría","Cool Headed","冷靜"
275,"StrongHearted","Strong Hearted","Cœur résilient","Hartgesotten","強心","강심장","Coragem Aflorada","Крепость духа","Fuerte de corazón","Strong Hearted","不屈之心"
276,"Refraction","Refraction","Réfraction","Refraktion","屈折装甲","굴절","Refração","Преломление","Refracción","Refraction","折射"
277,"TotemicControl","Totemic Control","Contrôle totémique","Totem-Kontrolle","トーテム制御","토템 제어","Controle Totêmico","Управление тотемами","Control totémico","Totemic Control","圖騰掌控"
278,"Untouchable","Untouchable","Intouchable","Unberührbar","アンタッチャブル","무적의","Intocável","Неприкосновенность","Intocable","Untouchable","無法觸碰"
279,"Unabating","Unabating","Effort soutenu","Unablässig","堅守","불요불굴","Incessante","Безустанность","Incesante","Unabating","勢頭不減"
280,"Timerot","Timerot","Dégradation temporelle","Zeitverfall","タイムロット","시간부식","Apodrecimento Temporal","Загнивание","Putrefacción temporal","Timerot","時間腐敗"
281,"PunchThrough","Punch Through","Percée","Durchschlag","正拳狙撃","흘려 치기","Golpe Perfurante","Прорыв","Golpe contundente","Punch Through","透勁拳"
282,"Rip","Rip","Éventrement","Zerreißen","切り裂き","뜯기","Talho","Вырывание","Rasguño","Rip","撕裂"
283,"Tear","Tear","Déchirure","Aufreißen","追い裂き","찢기","Romper","Разрыв","Rasgadura","Tear","扯裂"
284,"Brink","Brink","Acharnement","Am Rande","スタン狙い","목전","Limiar","Порог","Brío","Brink","邊緣"
285,"Tireless","Tireless","Inépuisable","Unermüdlich","持続のウォークライ","끈기","Incansável","Неутомимость","Incansable","Tireless","孜孜不倦"
286,"VolcanicEruption","Volcanic Eruption","Éruption volcanique","Vulkanausbruch","ボルカニックエラプション","화산 분출","Erupção Vulcânica","Извержение вулкана","Erupción volcánica","Volcanic Eruption","火山迸發"
287,"FirstBlood","First Blood","Premier sang","Erstes Blut","ファーストブラッド","첫 출혈","Primeiro Golpe","Первая кровь","Primera sangre","First Blood","浴血鬥士"
288,"Retort","Retort","Contre","Erwidern","切り返し","응수","Rebate","Резкий ответ","Respuesta","Retort","反駁"
289,"Hobble","Hobble","Chancellement","Fesseln","鈍足","절뚝거림","Aleijamento","Стреноживание","Cojera","Hobble","跛行"
290,"Twofold","Twofold","Doublement","Zweifältig","二倍の恩恵","배가","Bipartição","Удвоение","Doble","Twofold","雙重"
291,"Incision","Incision","Incision","Einschnitt","切開","절개","Incisão","Разрез","Incisión","Incision","切割"
292,"Catharsis","Catharsis","Catharsis","Katharsis","カタルシス","카타르시스","Catarse","Катарсис","Catarsis","Catharsis","宣洩"
293,"DelayedGratification","Delayed Gratification","Gratification différée","Verspätete Genugtuung","条件の報酬","보상 유예","Gratificação Adiada","Отложенная награда","Gratificación demorada","Delayed Gratification","延遲滿足感"
294,"Loyalty","Loyalty","Loyauté","Loyalität","忠誠","충성심","Lealdade","Преданность","Lealtad","Loyalty","忠誠"
295,"Rearm","Rearm","Réarmement","Wiederbewaffnung","再配置","재무장","Rearmamento","Повторное взведение","Rearmar","Rearm","重新佈署"
296,"DelayedReaction","Delayed Reaction","Réaction retardée","Verzögerte Reaktion","遅延反応","지연 반응","Reação Adiada","Задержка срабатывания","Reacción tardía","Delayed Reaction","延遲反應"
297,"SpectralPalm","Spectral Palm","Paume spectrale","Spektrale Hand","スペクトラルパーム","영체 장법","Palma Espectral","Призрачная длань","Palma espectral","Spectral Palm","靈體之掌"
298,"VolatilePower","Volatile Power","Puissance instable","Instabile Macht","ボラタイルパワー","일촉즉발의 힘","Poder Volátil","Нестабильная мощь","Poder volátil","Volatile Power","不穩定的力量"
299,"Gambleshot","Gambleshot","Tir hasardeux","Zufallsschuss","ギャンブルショット","도박 사격","Disparo Arriscado","Выстрел наудачу","Disparo de azar","Gambleshot","博弈射擊"
300,"UnerringPower","Unerring Power","Puissance infaillible","Zielsichere Macht","精確な一撃","흔들리지 않는 힘","Poder Infalível","Безошибочная мощь","Poder infalible","Unerring Power","精準力量"
301,"Impale","Impale","Empalement","Aufspießen","串刺し","꿰뚫기","Empalamento","Прокол","Empalar","Impale","穿刺"
302,"Perfection","Perfection","Perfection","Perfektion","パーフェクション","완벽","Perfeição","Совершенство","Perfección","Perfection","完美"
303,"Deliberation","Deliberation","Délibération","Behutsamkeit","歩行狙撃","신중","Deliberação","Целеустремлённость","Deliberación","Deliberation","審慎"
304,"SeeRed","See Red","Voir rouge","Rotsehen","激昂出血","빨간색 보기","Descontrole","Красный цвет","Enfurecimiento","See Red","赤紅目光"
305,"ShortFuse","Short Fuse","Mèche courte","Kurze Zündschnur","短縮起爆","짧은 퓨즈","Pavio Curto","Короткий запал","Mecha corta","Short Fuse","易怒"
306,"Undermine","Undermine","Fissuration","Aushöhlen","重傷崩し","기반 약화","Prejuízo","Подсечка","Socavar","Undermine","破壞"
307,"Outmaneuver","Outmaneuver","Déjouement","Ausmanövrieren","崩し打ち","허 찌르기","Manobra Tática","Обходной манёвр","Aventajar","Outmaneuver","出奇制勝"
308,"MarkForDeath","Mark for Death","Marquage funeste","Zum Tode verurteilen","死の呪印","죽음의 징표","Marcar para Morrer","Метка смерти","Señal de muerte","Mark for Death","死亡標記"
309,"Tumult","Tumult","Tumulte","Tumult","狂乱の破壊","격동","Tumulto","Смятение","Tumulto","Tumult","紛亂"
310,"Admixture","Admixture","Mélange","Gemisch","毒血連携","배합물","Combinação","Примесь","Mixtura","Admixture","混合劑"
311,"Stoicism","Stoicism","Stoïcisme","Stoizismus","不動の覚悟","극기","Estoicismo","Стоицизм","Estoicismo","Stoicism","堅忍"
312,"RelentlessRage","Relentless Rage","Rage incessante","Unerbittlicher Rausch","尽きぬ憤怒","그치지 않는 격노","Fúria Implacável","Неослабная свирепость","Furia imparable","Relentless Rage","無盡怒火"
313,"Brambleslam","Brambleslam","Fracas de ronces","Dornenhieb","荊棘のスラム","가시나무 강타","Pancada Espinhosa","Терновник","Embate de matorral","Brambleslam","荊棘猛擊"
314,"Inhibitor","Inhibitor","Inhibiteur","Ladungshemmung","チャージ消費抑制","억제자","Inibidor","Ингибитор","Inhibidor","Inhibitor","抑制劑"
315,"GroundingShocks","Static Shocks","Décharges statiques","Statische Schocks","スタティックショック","정전기 감전","Choques Estáticos","Статический шок","Descargas electrostáticas","Static Shocks","靜電震盪"
316,"HardyTotems","Hardy Totems","Totems robustes","Robuste Totems","頑強なトーテム","강인한 토템","Totens Robustos","Прочные тотемы","Tótems resistentes","Hardy Totems","堅韌圖騰"
317,"LivingLightning","Living Lightning","Foudre vivante","Lebendiger Blitz","リビングライトニング","살아 있는 번개","Relâmpago Vivo","Живая молния","Rayo viviente","Living Lightning","活躍閃電"
318,"StoneSlamAegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis","[DNT] Stone Slam Aegis"
319,"TotemicAegis","[DNT] Totemic Aegis","[DNT] Totemic Aegis","[DNT-UNUSED] Totemic Aegis","[DNT-UNUSED] Totemic Aegis","[DNT] Totemic Aegis","Égide Totêmica","[DNT-UNUSED] Totemic Aegis","[DNT-UNUSED] Totemic Aegis","DNT","WIP"
320,"FromTheGrave","[DNT] From The Grave","[DNT] From The Grave","[DNT-UNUSED] From The Grave","[DNT-UNUSED] From The Grave","[DNT] From The Grave","Vindo do Túmulo","[DNT-UNUSED] From The Grave","[DNT-UNUSED] From The Grave","DNT","WIP"
321,"FrozenSpite","Frozen Spite","Malveillance gelée","Gefrorene Bosheit","フローズンスパイト","얼어붙은 악의","Rancor Congelado","Замёрзший гнев","Rencor helado","Frozen Spite","凍結怨恨"
322,"ShockingRift","Electromagnetism","Électromagnétisme","Elektromagnetismus","エレクトロマグネティズム","전자기력","Eletromagnetismo","Электромагнетизм","Electromagnetismo","Electromagnetism","電磁學"
323,"Mercy","Dominus' Grasp","Poigne de Dominus","Dominus' Griff","ドミナスの掌握","도미누스의 장악","Domínio de Dominus","Хватка Владыки","Control de Dóminus","Dominus' Grasp","神主的掌握"
324,"FlamePillar","Flame Pillar","Pilier de flammes","Flammensäule","火柱","화염 기둥","Pilar Flamejante","Столп огня","Pilar de fuego","Flame Pillar","火炎之柱"
325,"StreamlinedRounds","Streamlined Rounds","Carreaux profilés","Optimierte Bolzen","効率化弾薬","유선형 탄환","Munições Aerodinâmicas","Компактные снаряды","Saetas aerodinámicas","Streamlined Rounds","子彈如流"
326,"PerfectedEndurance","Perfected Endurance","Endurance perfectionnée","Perfektionierte Widerstandsfähigkeit","完全耐久","다듬어진 인내","Tolerância Aperfeiçoada","Исключительная выносливость","Aguante perfeccionado","Perfected Endurance","絕對堅毅"
327,"EnduringImpact","Enduring Impact","Impact endurant","Andauernde Einwirkung","断固の一撃","지속되는 충격","Impacto Duradouro","Выносливый удар","Impacto duradero","Enduring Impact","堅忍衝擊"
328,"Crater","Crater","Cratère","Krater","クレーター","분화구","Cratera","Кратер","Cráter","Crater","隕石坑"
329,"Vanguard","Vanguard","Avant-garde","Vorhut","ヴァンガード","선봉대","Vanguarda","Авангард","Vanguardia","Vanguard","無懼先鋒"
330,"CrystallineShards","Crystalline Shards","Éclats cristallins","Kristalline Splitter","結晶の破片","결정체 파편","Estilhaços Cristalinos","Кристальные осколки","Esquirlas cristalinas","Crystalline Shards","結晶碎片"
