"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","HASH32","string_36","string_44"
106,"GamepadInitTargetingModeTitle","Select Targeting Mode","Sélectionner le mode de ciblage","Wähle Zielerfassungs-Modus","ターゲッティングモードを選択","대상 지정 모드 선택","Selecionar Modo de Mira","Выбор режима прицеливания","Elegir modo de selección de objetivos","เลือกโหมดเลือกเป้าหมาย","選擇目標選擇模式","","","","","","","","","","","",-1813655901,"",""
107,"GamepadInitTargetingModeSubtitle","Targeting modes can changed later in the Bind Screen.","Les modes de ciblage peuvent être modifiés ultérieurement dans l'écran des raccourcis","Der Zielmodus kann später im Zuweisungssbildschirm geändert werden.","ターゲッティングモードは、割り当て画面で後で変更できます。","대상 지정 모드는 나중에 지정 화면에서 변경할 수 있습니다.","Modos de mira podem ser alterados depois na Tela de Associação. ","Режим прицеливания можно сменить позже в меню привязки.","Los modos de selección de objetivos se pueden cambiar después en la pantalla de vinculación.","คุณสามารถเปลี่ยนโหมดเลือกเป้าหมายได้ภายหลังในหน้าจอตั้งปุ่ม","之後可在綁定視窗中變更目標選擇模式。","","","","","","","","","","","",1057883794,"",""
108,"GamepadInitTargetingModeDescAuto","<bigger>{Automatic (recommended)}\r\n\r\nSwitch between Ranged and Melee modes automatically.","<bigger>{Automatique (recommandé)}\r\n\r\nAlterne automatiquement entre le mode À distance et Mêlée.","<bigger>{Automatisch (empfohlen)}\r\n\r\nWechselt automatisch zwischen Fernkampf- und Nahkampfmodus.","<bigger>{自動 (推奨 )}\r\n\r\n遠距離モードと近接モードを自動で切り替える。","<bigger>{자동(권장)}\r\n\r\n자동으로 원거리 모드와 근접 모드를 전환합니다.","<bigger>{Automático (recomendado)}\r\n\r\nAlterna automaticamente entre os modos Corpo a Corpo e à Distância. ","<bigger>{Автоматический (рекомендуется)}\r\n\r\nАвтоматическое переключение между режимами дальнего и ближнего боя.","<bigger>{Automático (recomendado)}\r\n\r\nCambia automáticamente entre los modos A distancia y Cuerpo a cuerpo.","<bigger>{อัตโนมัติ (แนะนำ)}\r\n\r\nสลับระหว่างโหมดระยะไกลและประชิดโดยอัตโนมัติ","<bigger>{自動(推薦)}\r\n\r\n依據你的武器和技能自動切換遠程和近戰模式。 ","","","","","","","","","","","",987400397,"",""
109,"GamepadInitTargetingModeDescMelee","<bigger>{Melee}\r\n\r\nThis mode will always priortise targets you move towards.","<bigger>{Mêlée}\r\n\r\nCe mode donnera toujours la priorité aux cibles vers lesquelles vous vous déplacez.","<bigger>{Nahkampf}\r\n\r\nDieser Modus priorisiert immer Ziele, denen man sich nähert.","<bigger>{近接}\r\n\r\nこのモードはプレイヤーが進む先のターゲットを常に優先します。","<bigger>{근접}\r\n\r\n이 모드는 항상 플레이어가 움직이는 방향에 있는 대상을 우선으로 합니다.","<bigger>{Corpo a Corpo}\r\n\r\nEste modo sempre priorizará os alvos para os quais você se move. ","<bigger>{Ближний бой}\r\n\r\nЭтот режим всегда отдаёт предпочтение целям, в сторону которых вы двигаетесь.","<bigger>{Cuerpo a cuerpo}\r\n\r\nEste modo siempre priorizará a los objetivos hacia los que te mueves.","<bigger>{ประชิด}\r\n\r\nโหมดนี้จะเลือกเป้าหมายที่คุณเคลื่อนเข้าหาเป็นหลัก","<bigger>{近戰}\r\n\r\n此模式優先挑選你正在靠近的目標。","","","","","","","","","","","",-1716668807,"",""
110,"GamepadInitTargetingModeDescRanged","<bigger>{Ranged}\r\n\r\nThis mode is ideal for focusing down enemies from afar.","<bigger>{À distance}\r\n\r\nCe mode est idéal pour se focaliser sur les ennemis tout en restant à distance.","<bigger>{Fernkampf}\r\n\r\nDieser Modus ist ideal, um Gegner aus der Ferne zu erledigen.","<bigger>{遠距離}\r\n\r\nこのモードは遠距離から敵を集中して攻撃するのに最適です。","<bigger>{원거리}\r\n\r\n이 모드는 멀리 있는 적에게 초점을 맞출 때 적합합니다.","<bigger>{À Distância}\r\n\r\nEste modo é ideal para focar inimigos à distância. ","<bigger>{Дальний бой}\r\n\r\nЭтот режим идеален для прицеливания во врагов издалека.","<bigger>{A distancia}\r\n\r\nEste modo es ideal para apuntar a objetivos desde lejos.","<bigger>{ระยะไกล}\r\n\r\nโหมดนี้เหมาะกับการจัดการศัตรูจากระยะไกล","<bigger>{遠程}\r\n\r\n此模式適合集火遠距離的敵人。","","","","","","","","","","","",-421984925,"",""
111,"GamepadInitTargetingModeLegend","Hold {0} to Select Mode.","Maintenez {0} pour sélectionner le mode.","Halte {0} gedrückt, um den Modus zu wählen.","{0}を長押ししてモードを選択","{0} 길게 누르기: 모드 선택","Segure {0} para Selecionar o Modo. ","Удерживайте {0} для выбора режима.","Mantén presionado {0} para seleccionar el modo.","{0} ค้างไว้เพื่อเลือกโหมด","按住 {0} 來選擇模式。","","","","","","","","","","","",-1348603902,"",""
112,"ConsoleActionUndoPropagateEquipment","Unshare Weapon Set","Ne plus partager l'Ensemble d'armes","Geteiltes Waffenset auflösen","武器セットを共有しない","무기 세트 공유 취소","Desvincular Conjunto de Armas","Использовать только для одного набора","Dejar de compartir set de armas","ยกเลิกการใช้ชุดอาวุธร่วมกัน","解除共享武器套裝","","","","","","","","","","","",239235301,"",""
113,"CosmeticsPanelHelpInfo","<valuedefault>{Ctrl + Alt + L-Click}<default>{ to link item in the chat.}\r\n<valuedefault>{R-Click}<default>{ to clear MTX slot.}","<valuedefault>{Ctrl + Alt + Clic gauche}<default>{ pour afficher l'objet dans le tchat.}\r\n<valuedefault>{Clic droit}<default>{ pour effacer l'emplacement cosmétique.}","<valuedefault>{Strg+ Alt + Linksklick}<default>{ zum Teilen des Gegenstands im Chat.}\r\n<valuedefault>{Rechtsklick}<default>{ zum Leeren des MTX-Platzes.}","<valuedefault>{Ctrl + Alt + 左クリック}<default>{でチャットにアイテムをリンクする。}\r\n<valuedefault>{右クリック}<default>{でMTXスロットをクリアする。}","<valuedefault>{Ctrl + Alt + 좌클릭}<default>{으로 채팅창에 아이템을 링크하십시오.}\r\n<valuedefault>{우클릭}<default>{으로 포인트 아이템 슬롯을 비우십시오.}","<valuedefault>{Ctrl + Alt + L-Click}<default>{ para vincular item no chat.}\r\n<valuedefault>{R-Click}<default>{ para limpar o espaço de MTX.}","<valuedefault>{Ctrl + Alt + ЛКМ}<default>{ отправить ссылку в чат}\r\n<valuedefault>{ПКМ}<default>{ освободить ячейку}","<valuedefault>{Ctrl + Alt + clic izq.}<default>{para enlazar el objeto en el chat.}\r\n<valuedefault>{Clic dcho.}<default>{para despejar el espacio de MTX.}","<valuedefault>{Ctrl + Alt + คลิกซ้าย}<default>{ เพื่อเชื่อมโยงไอเทมลงไปในแชท}\r\n<valuedefault>{คลิกขวา}<default>{ เพื่อล้างช่องสินค้าแฟชั่น}","<valuedefault>{Ctrl + Alt + 滑鼠左鍵}<default>{可在聊天欄中輸入物品連結。}\r\n<valuedefault>{滑鼠右鍵}<default>{清除商城道具欄位。}","Press and hold <<xbox_button_x>> to link MTX items whilst chat panel is open.","Appuyez et maintenez <<xbox_button_x>> pour afficher les microtransactions pendant que la fenêtre de tchat est ouverte.","Halte <<xbox_button_x>> gedrückt, um die Mikrotransaktionen-Wunschliste zu verlinken, während die Chat-Oberfläche geöffnet ist.","チャットパネルが開いているときに、<<xbox_button_x>>を長押ししてMTXアイテムをリンクします。","채팅 창이 열려 있는 동안 <<xbox_button_x>>를 누르면 포인트 아이템을 링크할 수 있습니다.","Pressione e segure <<xbox_button_x>> para vincular itens de MTX enquanto o painel de chat estiver aberto.","Нажмите и удерживайте <<xbox_button_x>> для отправки микротранзакций в открытое окно чата.","Mantén presionado <<xbox_button_x>> para enlazar tus MTX con el panel del chat abierto.","<<xbox_button_x>> ค้างเพื่อเชื่อมโยงสินค้าแฟชั่นลงไปขณะที่เปิดหน้าต่างแชทอยู่","在聊天欄開啟時，按住 <<xbox_button_x>> 可輸入商城道具連結。","",2118208970,"",""
114,"DeathScreenGlobalRespawnConfirmationWarningTitle","Warning","Attention","Warnung","警告","경고","Aviso","Предупреждение","Advertencia","คำเตือน","警告","","","","","","","","","","","",-1331984170,"",""
115,"DeathScreenGlobalRespawnConfirmationWarningText","This action will respawn all players currently in the area, are you sure you wish to respawn?","Cette action ressuscitera tous les joueurs actuellement dans la zone, êtes-vour sûr de vouloir ressusciter ?","Durch diese Aktion werden alle Spieler, die sich derzeit in dem Gebiet befinden, wiederbelebt. Bist du sicher, dass du wiederbeleben möchtest?","このアクションにより、現在エリア内にいるすべてのプレイヤーがリスポーンします。リスポーンしますか？","계속하면 현재 이 지역에 있는 모든 플레이어를 재소환합니다. 정말 재소환하시겠습니까?","Esta ação irá ressuscitar todos os jogadores atualmente na área, você tem certeza de que deseja ressuscitar?","Это действие возродит всех игроков, находящихся в области. Вы уверены?","Esta acción resucitará a todos los jugadores que estén actualmente en el área. ¿Seguro que quieres resucitar?","การกระทำนี้จะคืนชีพผู้เล่นทุกคนที่อยู่ในด่านในปัจจุบัน คุณต้องการคืนชีพหรือไม่?","此行動會使區域內所有玩家重生，你確定要重生嗎？","","","","","","","","","","","",2054195336,"",""
116,"DeathScreenGlobalRespawnConfirmationWarningAcceptButton","Respawn","Ressusciter","Wiederbeleben","リスポーン","재소환","Ressuscitar","Возродить","Resucitar","คืนชีพ","重生","","","","","","","","","","","",2070351492,"",""
117,"DeathScreenGlobalRespawnConfirmationWarningCancelButton","Cancel","Annuler","Abbrechen","キャンセル","취소","Cancelar","Отмена","Cancelar","ยกเลิก","取消","","","","","","","","","","","",-1469811660,"",""
118,"QuestTrackerCompleteTowerMap","<<endgame_objective_bullet_point>> Activate the Precursor Beacon","<<endgame_objective_bullet_point>> Activer la Balise des Prédécesseurs","<<endgame_objective_bullet_point>> Aktiviere das Wegbereiter-Leuchtfeuer","<<endgame_objective_bullet_point>> 先人のビーコンを起動しろ","<<endgame_objective_bullet_point>> 선도자 봉화 활성화하기","<<endgame_objective_bullet_point>> Ative o Farol Precursor","<<endgame_objective_bullet_point>> Активируйте маяк Предтеч","<<endgame_objective_bullet_point>> Activa el Faro precursor","<<endgame_objective_bullet_point>> เปิดใช้ ประภาคารกลุ่มชนก่อนกาล","<<endgame_objective_bullet_point>> 啟動先行者烽塔","","","","","","","","","","","",-95343443,"",""
119,"QuestTrackerCompleteHideoutMap","<<endgame_objective_bullet_point>> Clear out all monsters in the Hideout","<<endgame_objective_bullet_point>> Nettoyer le Repaire de tous les monstres","<<endgame_objective_bullet_point>> Säubere alle Monster im Versteck","<<endgame_objective_bullet_point>> 隠れ家内のすべてのモンスターを排除しろ","<<endgame_objective_bullet_point>> 은신처의 모든 몬스터 소탕하기","<<endgame_objective_bullet_point>> Limpe todos os monstros no Refúgio","<<endgame_objective_bullet_point>> Избавьтесь от всех монстров в убежище","<<endgame_objective_bullet_point>> Elimina a todos los monstruos de la guarida","<<endgame_objective_bullet_point>> สยบ มอนสเตอร์ทั้งหมด ภายในที่ซ่อน","<<endgame_objective_bullet_point>>清除藏身處中的所有怪物","","","","","","","","","","","",-916704994,"",""
120,"QuestTrackerCompleteUniqueMapLake","<<endgame_objective_bullet_point>> Activate the Fragmented Mirror","<<endgame_objective_bullet_point>> Activer le Miroir fragmenté","<<endgame_objective_bullet_point>> Aktiviere den Zerbrochenen Spiegel","<<endgame_objective_bullet_point>> 割れた鏡を起動しろ","<<endgame_objective_bullet_point>> 조각난 거울 활성화하기","<<endgame_objective_bullet_point>> Ative o Espelho Fragmentado","<<endgame_objective_bullet_point>> Активируйте Разбитое зеркало","<<endgame_objective_bullet_point>> Activa el Espejo fragmentado","<<endgame_objective_bullet_point>> เปิดใช้ กระจกแตกร้าว","<<endgame_objective_bullet_point>> 啟動破碎之鏡","","","","","","","","","","","",-1744087588,"",""
121,"QuestTrackerCompleteUniqueMapWildwood","<<endgame_objective_bullet_point>> Explore the Dark Mists","<<endgame_objective_bullet_point>> Explorer les Brumes obscures","<<endgame_objective_bullet_point>> Erforsche die Dunklen Nebel","<<endgame_objective_bullet_point>> 闇の霧を探索しろ","<<endgame_objective_bullet_point>> 어둑한 안개 탐험하기","<<endgame_objective_bullet_point>> Explore as Névoas Sombrias","<<endgame_objective_bullet_point>> Исследуйте тёмные туманы","<<endgame_objective_bullet_point>> Explora las Nieblas oscuras","<<endgame_objective_bullet_point>> สำรวจ ม่านหมอกมืดมน","<<endgame_objective_bullet_point>> 探索暗黑迷霧","","","","","","","","","","","",910274062,"",""
122,"QuestTrackerCompleteUniqueMapCastaway","<<endgame_objective_bullet_point>> Find and use the Rotten Satchel Charge","<<endgame_objective_bullet_point>> Trouver et utiliser la Charge de sacoche pourrie","<<endgame_objective_bullet_point>> Finde und benutze die Verfaulte Tornisterladung","<<endgame_objective_bullet_point>> 劣化した梱包爆薬を見つけて使用しろ","<<endgame_objective_bullet_point>> 썩은 가방 화약을 찾아내 사용하기","<<endgame_objective_bullet_point>> Encontre e use a Carga de Bolsa Podre","<<endgame_objective_bullet_point>> Найдите и используйте заряд в сгнившей сумке","<<endgame_objective_bullet_point>> Encuentra y usa la Cartera podrida explosiva","<<endgame_objective_bullet_point>> ค้นหาและใช้ วัตถุระเบิดเน่าเปื่อย","<<endgame_objective_bullet_point>> 尋找並使用破爛炸藥包","","","","","","","","","","","",-1725208269,"",""
123,"QuestTrackerCompleteUniqueMapMegalith","<<endgame_objective_bullet_point>> Activate Runed Megaliths and complete the Boss Gauntlet","<<endgame_objective_bullet_point>> Activer les Mégalithes runiques et terminez le défi de Boss","<<endgame_objective_bullet_point>> Aktiviere die Runenverzierten Megalithen und schließe den Boss-Spießrutenlauf ab.","<<endgame_objective_bullet_point>> ルーンの刻まれたメガリスを起動し、ボスガントレットを完了しろ","<<endgame_objective_bullet_point>> 룬 각인 거석을 작동하고 보스 시련 완료하기","<<endgame_objective_bullet_point>> Ative os Monólitos Rúnicos e complete o Teste do Chefe","<<endgame_objective_bullet_point>> Активируйте рунические мегалиты и завершите сражение с боссами","<<endgame_objective_bullet_point>> Activa los Megalitos rúnicos y completa el desafío de jefes","<<endgame_objective_bullet_point>> เปิดใช้ มหาศิลาสลักอักขระ แล้วดำเนินการต่อสู้กับบอสเป็นชุดให้สำเร็จ","<<endgame_objective_bullet_point>> 啟動符文巨石並完成頭目挑戰","","","","","","","","","","","",-1797492116,"",""
124,"QuestTrackerCompleteUniqueMapSelenite","<<endgame_objective_bullet_point>> Defeat the Imprisoned Boss","<<endgame_objective_bullet_point>> Terrasser le Boss emprisonné","<<endgame_objective_bullet_point>> Besiege den eingeschlossenen Boss","<<endgame_objective_bullet_point>> 囚われたボスを撃破しろ","<<endgame_objective_bullet_point>> 갇힌 보스 처치하기","<<endgame_objective_bullet_point>> Derrote o Chefe Encarcerado","<<endgame_objective_bullet_point>> Победите заточённого босса","<<endgame_objective_bullet_point>> Derrota al jefe aprisionado","<<endgame_objective_bullet_point>> สยบ บอสที่ถูกจองจำ","<<endgame_objective_bullet_point>> 擊敗受禁錮的頭目","","","","","","","","","","","",-591585718,"",""
125,"QuestTrackerCompleteUniqueMapVault","<<endgame_objective_bullet_point>> Open Kamasa's Treasury","<<endgame_objective_bullet_point>> Ouvrir le Trésor de Kamasa","<<endgame_objective_bullet_point>> Öffne Kamasas Schatzkammer","<<endgame_objective_bullet_point>> カマサの宝箱を開け","<<endgame_objective_bullet_point>> 카마사의 보물 창고 열기","<<endgame_objective_bullet_point>> Abra o Tesouro de Kamasa","<<endgame_objective_bullet_point>> Откройте сокровищницу Камасы","<<endgame_objective_bullet_point>> Abre el Tesoro de Kamasa","<<endgame_objective_bullet_point>> เปิด สมบัติคามาซา","<<endgame_objective_bullet_point>> 開啟卡瑪薩藏寶箱","","","","","","","","","","","",-76300311,"",""
126,"QuestTrackerCompleteUniqueMapMerchant","<<endgame_objective_bullet_point>> Take an Item from the Nameless Seer","<<endgame_objective_bullet_point>> Prendre un objet auprès du Devin innommé","<<endgame_objective_bullet_point>> Nimm einen Gegenstand vom Namenlosen Seher","<<endgame_objective_bullet_point>> 名もなき予言者からアイテムを受け取れ","<<endgame_objective_bullet_point>> 이름 없는 예견자에게 아이템 받기","<<endgame_objective_bullet_point>> Pegue um item do Vidente Inominada","<<endgame_objective_bullet_point>> Получите предмет у Безымянного прорицателя","<<endgame_objective_bullet_point>> Acepta un objeto del Vidente sin nombre","<<endgame_objective_bullet_point>> รับไอเทมจาก โหรไร้นาม","<<endgame_objective_bullet_point>> 向無名先知索取一件物品","","","","","","","","","","","",-570948147,"",""
127,"GamepadSpectateLegendChangeViewpoint","Change Viewpoint","Changer de point de vue","Perspektive wechseln","視点を変更","시점 변경","Mudar Ponto de Vista","Сменить ракурс","Cambiar punto de vista","เปลี่ยนมุมมอง","變更視角","","","","","","","","","","","",544282616,"",""
128,"GamepadSpectateLegendExit","Exit Spectate Mode","Quitter le Mode Spectateur","Zuschauermodus verlassen","観戦モードを出る","관전 모드 종료","Sair do Modo Espectador","Покинуть режим наблюдения","Salir del modo espectador","ออกจากโหมดรับชม","退出觀戰模式","","","","","","","","","","","",-1957202727,"",""
129,"MtxStatisticLabelNumArbiterOfAshPinnacleBossKilled","The Arbiter of Ash","L'Arbitre de la Cendre","Der Richter der Asche","灰のアービター","재의 중재자","O Árbitro das Cinzas","Арбитр пепла","El árbitro de ceniza","ตุลาการเถ้าธุลี","灰燼仲裁者","","","","","","","","","","","",-430770259,"",""
130,"MtxStatisticLabelNumXeshPinnacleBossKilled","Xesht, We That Are One","Xesht, Nous qui ne formons qu'un","Xesht, Wir die Eins sind","我らは一つ、ゼシュト","하나인 우리, 제쉬트","Xesht, Nós Que Somos Um","Ксешт, Мы-Что-Едины","Xesht, Nosotros, que somos uno","เซ็ชท์ เราผู้เป็นหนึ่ง","萬眾歸一．烈許","","","","","","","","","","","",-2061197931,"",""
131,"MtxStatisticLabelNumOlrothPinnacleBossKilled","Olroth, Origin of the Fall","Olroth, l'Origine de la Chute","Olroth, Ursprung des Falls","破滅の元凶、オルロス","몰락의 기원 올로스","Olroth, Origem da Queda","Олрот, Исток падения","Olroth, Origen de la caída","ออลรอธ ต้นกำเนิดความวินาศ","失落起源．奧爾羅斯","","","","","","","","","","","",-1619933527,"",""
132,"MtxStatisticLabelNumKingInTheMistsPinnacleBossKilled","The King in the Mists","Le Roi dans les Brumes","Der König in den Nebeln","霧の王","연무 속의 왕","O Rei nas Brumas","Хозяин в Туманах","El rey de las nieblas","ราชันในม่านหมอก","迷霧之王","","","","","","","","","","","",-775104817,"",""
133,"ConsoleActionPlayExampleVideo","Play Example Video","Lancer la vidéo d'exemple","Beispielvideo abspielen","サンプル動画を再生","예시 영상 재생","Assistir Vídeo de Exemplo","Воспроизвести видеоролик с примером","Reproducir video de ejemplo","เล่นวิดีโอตัวอย่าง","播放範例影片","","","","","","","","","","","",-282792330,"",""
134,"GamepadEquippedWithWeaponSet","Equipped: [WeaponSets|Weapon Set]{0}","Equipé : [WeaponSets|Ensemble d'armes] {0}","Ausgerüstet: [WeaponSets|Waffenset]{0}","装備中: [WeaponSet|武器セット] {0}","장착 중: [WeaponSets|무기 세트]{0}","Equipado: [WeaponSets|Conjunto de Armas]{0}","Используется в: [WeaponSets|Набор оружия]{0}","Equipado: [WeaponSets|Set de armas]{0}","สวมใส่: [WeaponSets|ชุดอาวุธ]{0}","已裝備：[WeaponSets|武器套裝]{0}","","","","","","","","","","","",359537255,"",""
135,"PassiveSkillRefundGrantedSpecialisationPointsError","Insufficent Specialisation Points.\r\nTo refund this Skill, unallocate some of your\r\nSpecialisation Passive Skills. \r\n\r\nRequired Available Specialisation Points: {0}\r\nCurrent Available Specialisation Points: {1}","Points de Spécialisation insuffisants.\r\nPour rembourser cette Aptitude, désattribuez certains de vos Talents de Spécialisation. \r\n\r\nPoints de Spécialisation disponibles requis : {0}\r\nPoints de Spécialisation disponibles actuellement : {1}","Nicht genügend Spezialisierungspunkte.\r\nUm diese Fertigkeit zurückzuerstatten, entferne einen Teil deiner zugewiesenen\r\nspezialisierten Passiven Fertigkeiten. \r\n\r\nErforderliche verfügbare Spezialisierungspunkte: {0}\r\nAktuell verfügbare Spezialisierungspunkte: {1}","特化ポイントが不足しています。\r\nこのスキルを振り直すには、特化パッシブスキルの\r\n一部の割り当てを解除してください。 \r\n\r\n必要な利用可能な特化ポイント：{0}\r\n現在の利用可能な特化ポイント：{1}","특화 포인트가 부족합니다.\r\n이 스킬의 비용을 돌려받으려면 특화 패시브 스킬 중\r\n몇 개의 할당을 해제해야 합니다. \r\n\r\n필요한 잔여 특화 포인트: {0}\r\n현재 잔여 특화 포인트: {1}","Pontos de Especialização Insuficientes.\r\nPara restituir esta Habilidade, desatribua algumas das suas Habilidades Passivas de Especialização.\r\n\r\nPontos de Especialização Disponíveis Necessários: {0}\r\nPontos de Especialização Disponíveis Atuais: {1}","Недостаточно очков специализации.\r\nЧтобы отказаться от этого умения, отмените \r\nраспределение некоторых из ваших\r\nпассивных умений специализации.\r\n\r\nТребуется доступных очков специализации: {0}\r\nТекущие доступные очки специализации: {1}","Puntos de especialización insuficientes.\r\nPara reintegrar esta habilidad, desasigna algunas\r\nde tus habilidades pasivas de especialización. \r\n\r\nPuntos de especialización disponibles requeridos: {0}\r\nPuntos de especialización disponibles actuales: {1}","แต้มเฉพาะทางไม่เพียงพอ\r\nคุณสามารถรับคืนแต้มชนิดนี้ได้ด้วยการรับคืนแต้มพาสซีฟเฉพาะทางของคุณ\r\n\r\nแต้มเฉพาะทางที่ต้องการ: {0}\r\nแต้มเฉพาะทางที่มีอยู่: {0}","專精點數不足。\r\n若想退還此技能，請取消分配一些\r\n專精天賦技能。\r\n\r\n所需可用專精點數：{0}\r\n當前可用專精點數：{1}","","","","","","","","","","","",-351476468,"",""
136,"ItemErrorDuplicateSupportGemInSkill","This Skill gem contains duplicate Support gems.\r\nOnly one Support gem type is valid per skill.","Cette Gemme d'aptitude contient des Gemmes de soutien en double.\r\nUn seul type de Gemme de soutien est valide par Aptitude.","Diese Fertigkeitengemme enthält doppelte Unterstützungsgemmen.\r\nPro Fertigkeit ist nur ein Unterstützungsgemmen-Typ gültig.","このスキルジェムには重複したサポートジェムが含まれています。\r\nスキルごとに有効なサポートジェムタイプは1個のみです。","이 스킬 젬에는 중복 보조 젬이 장착되어 있습니다.\r\n스킬 하나당 하나의 보조 젬 유형만 유효합니다.","Esta Gema de Habilidade contém Gemas de Suporte duplicadas. \r\nApenas um tipo de Gema de Suporte é válido por habilidade.","Это умение содержит дублирующиеся камни поддержки.\r\nДопускается использовать только один камень поддержки каждого типа на умение.","Esta gema de habilidad contiene gemas de asistencia duplicadas.\r\nSolo un tipo de gema de asistencia es válida por habilidad.","หินสกิลนี้มีหินเสริมที่ซ้ำกัน\r\nคุณสามารถใช้หินเสริมชนิดเดียวกันได้เพียง 1 เม็ดต่อ 1 สกิลเท่านั้น","這個技能寶石含有兩個相同的輔助寶石。\r\n每個技能只能套用一種輔助寶石。","","","","","","","","","","","",1463116391,"",""
137,"GamepadAscendancyTreePopupOverview","You have ascended.\r\nUse [AscendancyPoints|Ascendancy Points] to allocate\r\nAscendancy Passive Skills. ","Vous avez réussi votre Ascendance.\r\nUtilisez les [AscendancyPoints|Points d'Ascendance] pour les attribuer\r\nà des Talents d'Ascendance.","Du hast die Aszendenz erreicht.\r\nVerwende [AscdendancyPoints|Aszendenz-Punkte], um die passiven\r\nAszendenz-Fertigkeiten zuzuweisen.","アセンダンシーを獲得した。\r\n[AscendancyPoints|アセンダンシーポイント]を使用して\r\nアセンダンシーパッシブスキルを割り当ててください。","전직했습니다.\r\n[AscendancyPoints|전직 포인트]를 사용해\r\n전직 패시브 스킬을 할당하십시오.","Você ascendeu. \r\nUse [AscendancyPoints|Pontos Ascendentes] para alocar \r\nHabilidades Passivas Ascendentes.","Вы возвысились.\r\nИспользуйте [AscendancyPoints|очки Восхождения] для выбора\r\nпассивных умений Восхождения.","Has ascendido.\r\nUsa los [AscendancyPoints|puntos de ascendencia] para asignar\r\nhabilidades pasivas de ascendencia.","คุณได้รับคลาสเสริมแล้ว\r\nคุณสามารถอัพพาสซีฟคลาสเสริมได้ด้วยการใช้[AscendancyPoints|แต้มคลาสเสริม]","你已完成昇華。\r\n使用[AscendancyPoints|昇華天賦點數]來分配\r\n昇華天賦技能。","","","","","","","","","","","",1189280135,"",""
138,"RecombinatorUILastResultLabelSuccess","<rareitem>{Recombination Succeeded}","<rareitem>{Recombinaison réussie}","<rareitem>{Rekombination erfolgreich}","<rareitem>{リコンビネート成功}","<rareitem>{재조합 성공}","<rareitem>{Sucesso na Recombinação} ","<rareitem>{Рекомбинация успешна}","<rareitem>{Recombinación completada}","<rareitem>{การผสมไอเทมสำเร็จ}","<rareitem>{重新組合成功}","","","","","","","","","","","",316670796,"",""
139,"RecombinatorUILastResultLabelFailed","<red>{Recombination Failed}","<red>{Recombinaison échouée}","<red>{Rekombination fehlgeschlagen}","<red>{リコンビネート失敗}","<red>{재조합 실패}","<red>{Falha na Recombinação}","<red>{Рекомбинация не удалась}","<red>{La recombinación ha fallado}","<red>{การผสมไอเทมล้มเหลว}","<red>{重新組合失敗}","","","","","","","","","","","",600835080,"",""
140,"SkillWarningNoValidWeaponEquipped","No valid Weapon equipped to use Skill.","Aucune arme équipée valide pour utiliser l'Aptitude.","Keine gültige Waffe ausgerüstet, um die Fertigkeit zu benutzen.","スキルを使用するために有効な武器が装備されていません。","유효한 무기가 장착되어 있지 않아 스킬을 사용할 수 없습니다.","Nenhuma arma válida equipada para usar a Habilidade.","В руках нет подходящего оружия.","No tienes un arma válida equipada para usar esta habilidad.","อาวุธที่สวมใส่ไม่สามารถใช้กับสกิลนี้ได้","未裝備有效武器以使用技能。","","","","","","","","","","","",-4709111,"",""
141,"ConsoleActionSetToggledMinion","Set Minion","Définir Créature","Kreatur festlegen","ミニオンをセット","소환수 설정","Configurar Lacaio","Назначить приспешника","Establecer esbirro","ตั้งมิเนียน","設定召喚物","","","","","","","","","","","",-2029600592,"",""
142,"SkillCraftingEquippedGemsFilter","Equipped Gems","Gemmes équipées","Ausgerüstete Gemmen","装備中のジェム","장착 중인 젬","Gemas Equipadas","Используемые камни","Gemas equipadas","<size:40>{หินที่ใส่}","已裝備的寶石","Upgradeable","Améliorable","Aufwertbar","アップグレード可能","업그레이드 가능","Aprimorável","Можно улучшить","Mejorable","อัพเกรดได้","可升級","",-269888122,"",""
143,"MapAreaStatsTitle","Map Modifiers","Modificateurs de Carte","Kartenmodifikatoren","マップモッド","지도 속성","Modificadores de Mapas","Свойства карты","Modificadores de mapa","ม็อดแผนที่","地圖詞綴","","","","","","","","","","","",572090636,"",""
144,"FavouriteMapsWindowKeepPinsOnScreenCheckboxLabel","Edge Display","Affichage périphérique","Randanzeige","画面端","가장자리 표시","Exibição de Borda","Показывать по краю экрана","Visualización de los bordes","แสดงภาพบนขอบจอ","邊緣顯示","","","","","","","","","","","",1875241293,"",""
145,"FavouriteMapsWindowKeepPinsOnScreenCheckboxPopup","","","","","","","","","","","","","","","","","","","","","",-1409364046,"",""
