"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool","PlayerConditionsKeys","MonsterDeathConditionsKeys","[rid]","i32","i32","bool","bool"
270,"KillTheSearingExarch",[8966],"[8424,8568]","",[],[],[],1,1,"",""
271,"KillTheEaterOfWorlds",[8967],"[8425,8567]","",[],[],[],1,1,"",""
272,"KillOlroth83OrHigher",[8709],[9702],"",[],[],[],83,83,"",""
273,"KillKurgal81OrHigher",[5955],[8573],"",[],[],[],81,81,"",""
274,"KillUulNetol81OrHigher",[5114],[8572],"",[],[],[],81,81,"",""
275,"DefeatAmanamu81OrHigher",[5954],[8571],"",[],[],[],81,81,"",""
276,"DefeatMastermind83OrHigher",[6913],"[9110,9227]","",[],[],[],83,83,"",""
277,"KillBlackStarWithoutBeingHitByMeteors",[8963],[8629],"",[],[],[],1,1,"",""
278,"KillBlackStarWithMonsterFleet",[8963],[8630],"",[],[],[],1,1,"",""
279,"KillInfiniteHungerWithoutBeingTeleported",[8972],[8631],"",[],[],[],1,1,"",""
280,"KillInfiniteHungerWithMonsterLife",[8972],[8632],"",[],[],[],1,1,"",""
281,"KillEaterOfWorldsWithoutDrowning",[8967],[8633],"",[],[],[],1,1,"",""
282,"KillEaterOfWorldsWithChilledGround",[8967],[8634],"",[],[],[],1,1,"",""
283,"KillSearingExarchWithoutBeingHitByRollingMeteors",[8966],[8635],"",[],[],[],1,1,"",""
284,"KillSearingExarchWithPhysicalAsFire",[8966],[8636],"",[],[],[],1,1,"",""
285,"KillMapBossWhileAffectedByCovetousShrine",[0],[8766],"",[45],[7],[],1,1,"",1
286,"KillEssenceBossWhileAffectedByCovetousShrine",[0],[8768],"",[45],[21],[],1,1,"",""
287,"KillMetamorphWhileAffectedByCovetousShrine",[7718],[8769],"",[45],[],[],1,1,"",""
288,"KillDeliriumBossWhileAffectedByCovetousShrine","[7935,7937]",[8770],"",[45],[],[],1,1,"",""
289,"KillShaperOrElderGuardianWhileAffectedByCovetousShrine","[4887,4878,4883,4890,5956,5958,5960,5963]",[8771],"",[45],[],[],1,1,"",""
290,"KillHarvestBoss","[8126,8143,8145]",[9372],"",[],[],[],1,1,"",""
291,"DefeatRareMonsterTaggedBySentinel",[0],[8653],"",[],"[2,45]",[],1,1,"",""
292,"DefeatRogueExileTaggedBySentinel","[2547,2551,2553,2565,2566,2570,2572,2535,2539,2543,2599,2602,2603,2587,2591,2593,2579,2582,2584,2557,2558,2562,2545,2554,2573,2596,2585,2563,2577,2564,2586,2597,2556,2578,2604,2605,2606,2607,2608,2609]",[8654],"",[],[45],[],1,1,"",""
293,"DefeatActBossTaggedBySentinel","[151,148,1596,4151,5402,5165,5396,5304,5328,5812,5409]",[8655],"",[],[45],[],1,1,"",""
294,"KillMapBossInRareMapAfterActivating6SearingExarchAltarsWithWrathOfTheCosmosAllocated",[0],[8790],"",[59],[7],[],83,83,"",1
295,"KillUberShaper",[4970],"[9460,9465,9535]","",[],[],[],85,85,"",""
296,"KillUberSirus",[7860],"[9454,9465,9529]","",[],[],[],85,85,"",""
297,"KillUberUberElder",[5968],"[9455,9465,9530]","",[],[],[],85,85,"",""
298,"KillUberMaven",[8467],"[9456,9465,9531]","",[],[],[],85,85,"",""
299,"KillUberSearingExarch",[8966],"[9457,9465,9532]","",[],[],[],85,85,"",""
300,"KillUberEaterOfWorlds",[8967],"[9458,9465,9533]","",[],[],[],85,85,"",""
301,"DefeatEssenceBossWithAtLeast5RareModifiers",[0],[8759],"",[],[47],[],1,1,"",""
302,"DefeatAnEssenceBossWhichHasACorruptOnlyEssences",[0],[9352],"",[],"[21,49]",[],1,1,"",""
303,"KillShaperWithMavenWitness",[4970],[8835],"",[],[39],[],1,1,1,""
304,"KillShaperWithoutBeingAffectedByShaperBeam",[4970],[8836],"",[],[],[],1,1,"",""
305,"KillShaperWithoutDetonatingAnomaly",[4970],[8837],"",[],[],[],1,1,"",""
306,"KillShaperWhileHimAndYouAreChilled",[4970],[8838],"",[60],[50],[],1,1,1,""
307,"KillBlackStarWith80ItemQuantity",[8963],[8843],"",[],[],[],1,1,1,""
308,"KillBlackStarWithoutGainingMoreThan5StacksOfCrushingDarknessOrAnnihilatingLight",[8963],[8844],"",[],[],[],1,1,"",""
309,"KillBlackStarWith30StacksOfAnnihilatingLightAndWithoutGainingStacksOfCrushingDarkness",[8963],[8845],"",[61],[],[],1,1,"",""
310,"KillBlackStarWith30StacksOfCrushingDarknessAndWithoutGainingStacksOfAnnihilatingLight",[8963],[8846],"",[62],[],[],1,1,"",""
311,"KillInfiniteHungerWith80ItemQuantity",[8972],[8847],"",[],[],[],1,1,1,""
312,"KillInfiniteHungerWithoutBeingHitByVomit",[8972],[8848],"",[],[],[],1,1,"",""
313,"KillInfiniteHungerWith50StacksOfCorrosiveHunger",[8972],[8849],"",[63],[],[],1,1,1,""
314,"KillInfiniteHungerWithoutGainingMoreThan20StacksOfCorrosiveHungerAndAfterBeingPulledUnder3Times",[8972],[8850],"",[],[],[],1,1,"",""
315,"KillSearingExarchWith80ItemQuantity",[8966],[8851],"",[],[],[],1,1,1,""
316,"KillSearingExarchWithoutBeingAffectedByCauterisedFlesh",[8966],[9711],"",[],[],[],1,1,"",""
317,"KillSearingExarchWithoutBeingHitByAnnihilation",[8966],[8854],"",[],[],[],1,1,"",""
318,"KillEaterOfWorldsWith80ItemQuantity",[8967],[8855],"",[],[],[],1,1,1,""
319,"KillEaterOfWorldsAfterBeginningToDrownAtLeast10Times",[8967],[8856],"",[],[],[],1,1,1,""
320,"KillEaterOfWorldsWithoutBeingAffectedByMoreThan10StacksOfInescapableDoom",[8967],[8857],"",[],[],[],1,1,"",""
321,"KillUberElderAfterDefeating3MadnessPropagatorsWithin5Seconds",[5968],[8863],"",[],[],[],1,1,1,""
322,"KillUberElderWithoutTakingDamageFromShaperBeam",[5968],[8864],"",[],[],[],1,1,"",""
323,"KillUberElderWithoutDetonatingVolatileAnomalies",[5968],[8865],"",[],[],[],1,1,"",""
324,"KillUberElderAfterDetonatingAtLeast20VolatileAnomalies",[5968],[8866],"",[],[],[],1,1,1,""
325,"KillMavenWithoutBeingHitByCascadeOfPain",[8467],[8867],"",[],[],[],1,1,"",""
326,"KillMavenAfterCompleting5MemoryGames",[8467],[8868],"",[],[],[],1,1,1,""
327,"KillMavenWhileAffectedByMavensPunishment",[8467],"[8869,9251]","",[64],[],[],1,1,1,""
328,"KillMavenWithoutBeingAffectedByGravityWell",[8467],[8870],"",[],[],[],1,1,"",""
329,"KillRareMonsterInT16MapWith5ArchnemesisMods",[0],[9466],"",[],"[2,48]",[],83,83,"",""
330,"KillMapBossT16With50Empowerment",[0],[8876],"",[],"[7,52]",[],83,83,"",""
331,"KillMapBossLevel80With50Empowerment",[0],[8826],"",[],"[7,52]",[],80,80,"",""
332,"KillDeliriumBossLevel80With50Empowerment","[7935,7937]",[8827],"",[],[52],[],80,80,"",""
333,"KillBreachBossInDomainLevel80With50Empowerment","[5114,5117,5105,5108,5111]",[8828],"",[],[52],[],80,80,"",""
334,"KillMetamorphLevel80With50Empowerment",[7718],[8829],"",[],[52],[],80,80,"",""
335,"KillSuncallerAshaIn8ModT16MapWhileEmpoweredByUniqueSentinel",[988],[8859],"",[],[46],[],83,83,"",""
336,"KillMaligaroTheMutilatorIn8ModT16MapWhileEmpoweredByUniqueSentinel",[5798],[8860],"",[],[46],[],83,83,"",""
337,"KillAmalgamOfNightmaresIn8ModT16MapWhileEmpoweredByUniqueSentinel",[5814],[8861],"",[],[46],[],83,83,"",""
338,"KillStoneOfTheCurrentsIn8ModT16MapWhileEmpoweredByUniqueSentinel",[4230],[8862],"",[],[46],[],83,83,"",""
339,"KillShavronneTheSickeningIn8ModT16MapWhileEmpoweredByUniqueSentinel",[5793],[8877],"",[],[46],[],83,83,"",""
340,"KillDoedreTheDefilerIn8ModT16MapWhileEmpoweredByUniqueSentinel",[5205],[8878],"",[],[46],[],83,83,"",""
341,"KillFireAndFuryIn8ModT16MapWhileEmpoweredByUniqueSentinel",[2301],[8879],"",[],[46],[],83,83,"",""
342,"KillTheRestlessShadeIn8ModT16MapWhileEmpoweredByUniqueSentinel",[8204],[8880],"",[],[46],[],83,83,"",""
343,"KillMetamorphComprisedOf5UniqueBodyParts",[7718],[8772],"",[],[51],[],1,1,"",""
344,"KillMetamorphWhichHas5ArchnemesisModifiers",[7718],[9359],"",[],[53],[],1,1,"",""
345,"KillExpeditionBoss","[8655,8704,8656,8709]",[8952],"",[],[],[],1,1,"",""
346,"KillPossessedMonster",[0],[9326],"",[],"[13,2]",[],1,1,"",""
347,"DefeatAnEssenceWith3ShriekingEssences",[0],[8918],"",[],"[21,54]",[],81,81,"",""
348,"FinishAbyssAreas","[5953,5954,6034,6035]",[8922],"",[],[],[],1,1,"",""
349,"KillBlightBossLevel81Plus","[7448,7456,7458,7464,7468,7478,7490,7511,7520,7529,7535,7546,7551,7564,7571,7577,7583,7590,7599,7608,7614,7626,7636,7648]",[8946],"",[],[],[],81,81,"",""
350,"Kill83IncursionOmnitect",[6290],[9111],"",[],[],[],83,83,"",""
351,"DefeatMastermind81OrHigher",[6913],[9106],"",[],[],[],1,1,"",""
352,"KillUberAtziriWithoutBeingHitByFlameblast",[3389],[9108],"",[],[],[],1,1,"",""
353,"KillLakePhysicalBosses","[1938,1363,2949,2322,1906,8171,4916,4034,5815,5679,3782,4460,4895,5719,4402,2575,5657,8213,2290,4620,5146,5730,8220,2308,2296,5383,4489,251,1372,2406,3836,1161,2410,3385,1599,2315,4156,4069,2446,5789,2382,2431,7066,3126,1397,3859,5206,2325,8174,2541,4083,5785,2395,3960,2589,4077]",[9033],"",[],[],[1777],81,81,"",""
354,"KillLakeColdBosses","[1022,2352,5308,4089,8181,8437,1480,2004,5322,5168,5692,2375,4170,74,8184,8187,2328]",[9030],"",[],[],[1777],81,81,"",""
355,"KillLakeFireBosses","[5423,2440,2473,2392,5151,2340,4026,8411,2302,4059,2654,989,4533,5435,5777,5645,5346,2319,6265,74,5332,1297,4430,5005,3939]",[9031],"",[],[],[1777],81,81,"",""
356,"KillLakeLightningBosses","[5794,5831,2469,2331,1350,2347,4905,4148,2482,4415,5158,1589,4231,1029,2443,8414,2452,8177]",[9032],"",[],[],[1777],81,81,"",""
357,"KillLakeChaosBosses","[2402,2312,2436,2344,3973,8205,1525,5192,5357,5799,8196,2490,8226,1434,2493,4427,5889,2337]",[9034],"",[],[],[1777],81,81,"",""
358,"KillAnyEssence",[0],[9564],"",[],[21],[],1,1,"",""
359,"KillAtziri",[3238],[9144],"",[],[],[756],70,70,"",""
360,"KillExileWhilePlayerAffectedByShrine","[2547,2551,2553,2565,2566,2570,2572,2535,2539,2543,2599,2602,2603,2587,2591,2593,2579,2582,2584,2557,2558,2562,2545,2554,2573,2596,2585,2563,2577,2564,2586,2597,2556,2578,2604,2605,2606,2607,2608,2609]",[9146],"",[20],[],[],1,1,"",""
361,"KillExileWhilePlayerDelirious","[2547,2551,2553,2565,2566,2570,2572,2535,2539,2543,2599,2602,2603,2587,2591,2593,2579,2582,2584,2557,2558,2562,2545,2554,2573,2596,2585,2563,2577,2564,2586,2597,2556,2578,2604,2605,2606,2607,2608,2609]",[9148],"",[],[35],[],1,1,"",""
362,"KillMillionMonsters",[0],[9228],"",[],[],[],68,68,"",""
363,"Kill4ModRares",[0],"[9234,9721]","",[],"[2,48]",[],1,1,"",""
364,"KillMapBossWhileUnderShrine",[0],[9150],"",[20],[7],[],68,68,"",""
365,"KillBeyondBossWhileAffectedByShrine","[8772,8773,8786,8797]","[9155,9654]","",[20],[],[],1,1,"",""
366,"KillBeyondBossWhileDelirious","[8772,8773,8786,8797]",[9156],"",[],[35],[],1,1,"",""
367,"KillRareGodTouchedMonsterInTier16Map",[0],[9263],"",[],"[55,2]",[],1,1,"",""
368,"PureFlawlessBreachstoneBreachlord","[5105,5108,5111]",[9160],"",[],[],[],81,81,"",""
369,"PureFlawlessPhysicalBreachlord",[5114],[9160],"",[],[],[],82,82,"",""
370,"PureFlawlessChaosBreachlord",[5117],[9160],"",[],[],[],83,83,"",""
371,"KillDelveBoss83","[5955,6635,6636]",[9219],"",[],[],[],83,83,"",""
372,"KillSearingExarchWithSearingRune",[8966],"[9257,9725]","",[65],[],[],85,85,1,""
373,"KillSirusWithDesolationoftheAwakener",[7860],[9255],"",[66],[],[],1,1,1,""
374,"KillUberElderwithVortexGroudandEldritchDecay",[5968],[9253],"",[67],[],[],1,1,1,""
375,"KillDeliriumBoss","[7935,7936,7937,7938]","[9166,9588]","",[],[],[],1,1,"",""
376,"KillEaterOfWorldsAfter5Dooms",[8967],"[9256,9724]","",[],[],[],85,85,"",""
377,"KillCortexWithoutBeingHitByWormHoleSlam",[7132],[9254],"",[],[],[],1,1,"",""
378,"KillAzureAssassinlevel81",[9115],[9644],"",[],[],[],81,81,"",""
379,"KillCrimsonArchmagelevel81",[9112],[9644],"",[],[],[],81,81,"",""
380,"KillDeadlyBladedancerlevel81",[9110],[9644],"",[],[],[],81,81,"",""
381,"KillDeathlyArchmagelevel81",[9106],[9644],"",[],[],[],81,81,"",""
382,"KillEntombingWardenlevel81",[9108],[9644],"",[],[],[],81,81,"",""
383,"KillInfernalSentinellevel81",[9113],[9644],"",[],[],[],81,81,"",""
384,"KillMaskedCombatantlevel81",[9114],[9644],"",[],[],[],81,81,"",""
385,"KillObsidianSentinellevel81",[9107],[9644],"",[],[],[],81,81,"",""
386,"KillTemplarMarksmanlevel81",[9111],[9644],"",[],[],[],81,81,"",""
387,"KillUndyingArchmagelevel81",[9109],[9644],"",[],[],[],81,81,"",""
388,"KillCrimsonArchbishoplevel81",[9149],[9643],"",[],[],[],81,81,"",""
389,"KillGreaterWraithlevel81",[9151],[9643],"",[],[],[],81,81,"",""
390,"KillHolyGuardianlevel81",[9153],[9643],"",[],[],[],81,81,"",""
391,"KillColossalLithomancerlevel81",[9154],[9643],"",[],[],[],81,81,"",""
392,"KillSanctumBossVarakathWithoutBeingHitByFlamethrower",[9142],[9284],"",[],[],[],83,83,1,""
393,"KillSanctumBossBraomWhileUzarLifeGreaterEqual50Percent",[9144],[],"",[],[],[],83,83,"",""
394,"KillSanctumBossBraomWhileUzarLifeGreaterEqual50PercentCheck",[9143],[9285],"",[],[],[],83,83,"",""
395,"KillSanctumBossUzarWhileBraomLifeGreaterEqual50Percent",[9143],[],"",[],[],[],83,83,"",""
396,"KillSanctumBossUzarWhileBraomLifeGreaterEqual50PercentCheck",[9144],[9285],"",[],[],[],83,83,"",""
397,"KillSanctumBossXenatharWithoutBeingHitByLasers",[9145],[9286],"",[],[],[],83,83,1,""
398,"KillSanctumBossUnholyHereticWithoutBeingAffectedByTheirGroundDegen",[9146],[9287],"",[],[],[],83,83,1,""
399,"KillMetamorphComprisedOf5UniqueBodyPartsLevel83",[7718],[9412],"",[],[51],[],83,83,"",""
400,"KillHeistBossLevel83","[8270,8260,8263,8265,8273,8274]",[9413],"",[],[],[],83,83,"",""
401,"KillExpeditionBosslevel83","[8655,8704,8656,8709]",[9414],"",[],[],[],83,83,"",""
402,"StygianSpireWithShrine","[6036,6037,6038,6039]",[9422],"",[20],[],[],1,1,"",""
403,"MetamorphInBreach",[7718],[9424],"",[68],[],[],1,1,"",""
404,"DefeatStygianSpireAbyss","[6036,6037,6038,6039]",[9348],"",[],[],[],1,1,"",""
405,"KillAnyEssenceX6",[0],[9351],"",[],[56],[],1,1,"",""
406,"KillMetamorphFullPowerMaps",[7718],[9358],"",[],[58],[],1,1,"",1
407,"KillMetamorphFullPowerTanesLab",[7718],[9360],"",[],[58],[458],1,1,"",""
408,"KillMetamorph",[7718],[9666],"",[],[],[],1,1,"",""
409,"KillCrucibleRareinT16",[0],[9463],"",[],"[57,2]",[],83,83,"",1
410,"KillCrucibleRare",[0],[9470],"",[],"[57,2]",[],1,1,"",""
411,"KillCrucibleRareShrinebuffX4",[0],[9508],"",[69],"[57,2]",[],83,83,"",""
412,"KillCrucibleRareDelirious",[0],[9509],"",[],"[57,35,2]",[],83,83,"",""
413,"KillCrucibleRareBreached",[0],[9510],"",[68],"[57,2]",[],83,83,"",""
414,"KillCrucibleRare4Affix",[0],[9515],"",[],"[57,2,48]",[],83,83,"",""
415,"KillCrucibleRareEndgameEncounter",[0],[9516],"",[],"[57,2]","[1849,1848]",1,1,"",""
416,"KillCrucibleUniqueEndgameEncounter",[0],[9517],"",[],"[57,3]","[1849,1848]",1,1,"",""
417,"KillRareGodTouchedMonster",[0],[9523],"",[],[55],[],1,1,"",""
418,"Kill3CrucibleUniquesSingleArea",[0],[],"",[],"[57,3]",[1849],1,1,"",""
419,"Kill10CrucibleRaresSingleArea",[0],[],"",[],"[57,2]",[1849],1,1,"",""
420,"KillCrucibleRare4AltarDownsides",[0],[9511],"",[],"[57,2]",[],83,83,"",""
421,"KillCrucibleRare100QuantityMap",[0],[9512],"",[],"[57,2]",[],83,83,"",""
422,"KillCrucibleRare8ModMap",[0],[9513],"",[],"[57,2]",[],83,83,"",""
423,"KillCrucibleRareWithin10SecondsKillingMetamorph",[0],[9514],"",[70],"[57,2]",[],83,83,"",""
424,"KillIzaroWithoutBeingHitByCascade","[4528,4529,4530]",[9451],"",[],[],[],83,83,1,""
425,"KillChayulaAfter3BreachesActivated",[5117],[9452],"",[],[],[],1,1,"",""
426,"Kill10Tier3HarvestMonstersSingleArea",[0],[],"",[],[59],[],1,1,"",""
427,"CrucibleUniqueBoss1",[9171],[9492],"",[],[],[],81,81,"",""
428,"CrucibleUniqueBoss2",[9181],[9494],"",[],[],[],81,81,"",""
429,"CrucibleUniqueBoss3",[9191],[9496],"",[],[],[],81,81,"",""
430,"CrucibleUniqueBoss4",[9201],[9498],"",[],[],[],81,81,"",""
431,"CrucibleUniqueBoss5",[9211],[9500],"",[],[],[],81,81,"",""
432,"CrucibleUniqueBoss6",[9221],[9502],"",[],[],[],81,81,"",""
433,"6EssenceMobWhileShrine",[0],[9568],"",[20],[56],[],1,1,"",""
434,"BreachlordWhileShrine","[5105,5108,5111,5114,5117,5104,5107,5110,5113,5116]",[9569],"",[20],[],[],1,1,"",""
435,"HarbingerBossWhileShrine",[5517],[9570],"",[20],[],[],1,1,"",""
436,"LegionGeneralWhileShrine","[7228,7242,7267,7289,7315]",[9571],"",[20],[],[],1,1,"",""
437,"DeliriumUniqueBossWhileShrine","[7935,7936,7937,7938]",[9572],"",[20],[],[],1,1,"",""
438,"RareHarbingerMonster",[0],[9579],"",[],"[4,2]",[],1,1,"",""
439,"LegionGeneralinDOTC","[7228,7242,7267,7289,7315]",[9585],"",[],[],"[1298,1299,1300,1301]",1,1,"",""
440,"BreachlordWhileDelirious","[5105,5108,5111,5114,5117,5104,5107,5110,5113,5116]",[9653],"",[],[35],[],1,1,"",""
441,"LegionGeneralInBreach","[7228,7242,7267,7289,7315]",[9652],"",[68],[],[],1,1,"",""
442,"EssenceWhileTempest",[0],[9656],"",[25],[21],[],1,1,"",""
443,"BestiaryBossWithAspect","[6133,6088,6168,6141,6134,6089,6170,6142]",[9659],"",[71],[],[],1,1,"",""
444,"DefeatLyciaBoss83",[9147],[9701],"",[],[],[],83,83,"",""
445,"DefeatNassarWithoutStormcallHit",[5167],[9665],"",[],[],[],83,83,"",""
446,"DefeatArmalaWithoutLaserBarrageHit",[5398],[9661],"",[],[],[],83,83,"",""
447,"DefeatSolarisLunarisWithoutHits","[5331,5307]",[9664],"",[],[],[],83,83,"",""
448,"DefeatAmalgamWithoutStormcallHit",[5814],[9663],"",[],[],[],83,83,"",""
449,"DefeatMapKitavaWithoutBreathHit",[5411],[9662],"",[],[],[],83,83,"",""
450,"KillMavenWithoutBeingAffectedByMavenPunishment",[8467],[9707],"",[],[],[],1,1,1,""
451,"KillEaterOfWorldsWithoutBeingHitByTentacles",[8967],[9712],"",[],[],[],1,1,1,""
452,"DefeatMastermind83NoSculpturehit",[6913],[9660],"",[],[],[],83,83,"",""
453,"KillAulAfterDestroyingAllCocoons83",[6636],[9657],"",[],[],[],83,83,"",""
454,"CruelCustodianCruciblePhoenix",[4878],[9678],"",[],[39],[],83,83,"",""
455,"CruelCustodianCrucibleHydra",[4883],[9679],"",[],[39],[],83,83,"",""
456,"CruelCustodianCrucibleMinotaur",[4887],[9680],"",[],[39],[],83,83,"",""
457,"CruelCustodianCrucibleChimera",[4890],[9681],"",[],[39],[],83,83,"",""
458,"CruelCustodianCrucibleConstrictor",[5960],[9682],"",[],[39],[],83,83,"",""
459,"CruelCustodianCrucibleEnslaver",[5956],[9683],"",[],[39],[],83,83,"",""
460,"CruelCustodianCrucibleEradicator",[5958],[9684],"",[],[39],[],83,83,"",""
461,"CruelCustodianCruciblePurifier",[5963],[9685],"",[],[39],[],83,83,"",""
462,"CruelCustodianCrucibleAlHezmin",[7769],[9686],"",[],[39],[],83,83,"",""
463,"CruelCustodianCrucibleBaran",[7722],[9687],"",[],[39],[],83,83,"",""
464,"CruelCustodianCrucibleDrox",[7797],[9688],"",[],[39],[],83,83,"",""
465,"CruelCustodianCrucibleVeritania",[7747],[9689],"",[],[39],[],83,83,"",""
