"rownum","BaseItem","MonsterVariety","MonsterAbilities","MonsterAbilities (French)","MonsterAbilities (German)","MonsterAbilities (Japanese)","MonsterAbilities (Korean)","MonsterAbilities (Portuguese)","MonsterAbilities (Russian)","MonsterAbilities (Spanish)","MonsterAbilities (Thai)","MonsterAbilities (Traditional Chinese)","MonsterCategory"
37,4828,10116,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage","Attaque avec Frappes simultanées\r\nS'enrage périodiquement\r\nAffecté par la Rage du propriétaire","Greift mit Doppelschlag an\r\nWird regelmäßig wütend\r\nUnter dem Einfluss des Rausches des Besitzers","デュアルストライクで攻撃する\r\n定期的に怒る\r\n所有者の憤怒の影響を受ける","쌍수 타격으로 공격\r\n주기적으로 격앙됨\r\n소유자의 격노에 영향을 받음","Ataca com Golpe Combinado\r\nSe enfurece periodicamente\r\nAfetado pela Fúria do Dono","Атакует Парным ударом\r\nПериодически впадает в ярость\r\nПодпадает под действие свирепости владельца","Ataca con Golpe dual\r\nEnfurece periódicamente\r\nLe afecta la Furia de su dueño","โจมตีด้วย ฟาดคู่ (Dual Strike)\r\nเดือดดาล เป็นระยะ\r\nได้รับผลจากสถานะ คลั่ง ของเจ้าของ","雙持打擊攻擊\r\n持續盛怒\r\n被持有者的盛怒影響",1
38,4829,10117,"Attacks with Dualstrike\r\nPeriodically enrages\r\nAffected by Owner's Rage\r\nOwner gains 5% of Physical Damage as Extra Fire Damage","Attaque avec Frappes simultanées\r\nS'enrage périodiquement\r\nAffecté par la Rage du propriétaire\r\nLe propriétaire rajoute 5% des Dégâts physiques sous forme de Dégâts de feu","Greift mit Doppelschlag an\r\nWird regelmäßig wütend\r\nUnter dem Einfluss des Rausches des Besitzers\r\nBesitzer erhält 5% des physischen Schadens als zusätzlichen Feuerschaden","デュアルストライクで攻撃する\r\n定期的に怒る\r\n所有者の憤怒の影響を受ける\r\n所有者は物理ダメージの5％を追加の火ダメージとして獲得する","쌍수 타격으로 공격\r\n주기적으로 격앙됨\r\n소유자의 격노에 영향을 받음\r\n소유자가 물리 피해의 5%를 추가 화염 피해로 획득","Ataca com Golpe Combinado\r\nSe enfurece periodicamente\r\nAfetado pela Fúria do Dono\r\nDono recebe 5% do Dano Físico como Dano de Fogo Extra","Атакует Парным ударом\r\nПериодически впадает в ярость\r\nПодпадает под действие свирепости владельца\r\nВладелец наносит 5% физического урона в виде дополнительного урона от огня","Ataca con Golpe dual\r\nEnfurece periódicamente\r\nLe afecta la Furia de su dueño\r\nSu dueño gana el 5% del daño físico como daño de fuego extra","โจมตีด้วย ฟาดคู่ (Dual Strike)\r\nเดือดดาล เป็นระยะ\r\nได้รับผลจากสถานะ คลั่ง ของเจ้าของ\r\nเจ้าของ นำความเสียหาย กายภาพ 5% ไปเสริมเป็น ไฟ","雙持打擊攻擊\r\n持續盛怒\r\n被持有者的盛怒影響\r\n持有者獲得 5% 物理傷害的額外火焰傷害",1
39,4830,10181,"","","","","","","","","","",5
40,4831,10182,"","","","","","","","","","",5
41,4832,10183,"","","","","","","","","","",5
42,4833,10184,"Throws Poisonous Concoction","Jette des Concoctions empoisonnées","Wirft giftigen Trank","ポイゾナスコンコクションを投げる","독성 혼합물 투척","Arremessa Composto Venenoso","Бросает Ядовитую смесь","Lanza Sustancia venenosa","โยน น้ำยาพิษร้าย (Poisonous Concoction)","投擲毒藥",5
43,4834,10185,"Throws Poisonous Concoction\r\n200% increased effect of flasks","Jette des Concoctions empoisonnées\r\n200% d'Augmentation de l'Effet des Flacons","Wirft giftigen Trank\r\n200% erhöhte Fläschchenwirkung","ポイゾナスコンコクションを投げる\r\nフラスコの効果が200％増加する","독성 혼합물 투척\r\n플라스크 효과 200% 증가","Arremessa Composto Venenoso\r\nEfeito de Frascos aumentado em 200%","Бросает Ядовитую смесь\r\n200% усиление эффекта флаконов","Lanza Sustancia venenosa\r\nEfecto de los frascos aumentado un 200%","โยน น้ำยาพิษร้าย (Poisonous Concoction)\r\nเพิ่มผลของ ขวดยา 200%","投擲毒藥\r\n增加 200% 藥劑效果",5
44,4835,10186,"Throws Poisonous Concoction\r\n200% increased effect of flasks\r\nOwner gains 1 life flask charge every 3 seconds","Jette des Concoctions empoisonnées\r\n200% d'Augmentation de l'Effet des Flacons\r\nLe propriétaire gagne 1 Charge de Flacon de Vie toutes les 3 secondes","Wirft giftigen Trank\r\n200% erhöhte Fläschchenwirkung\r\nBesitzer erhält 1 Lebensfläschchen-Füllung alle 3 Sekunden","ポイゾナスコンコクションを投げる\r\nフラスコの効果が200％増加する\r\n所有者は3秒ごとにライフフラスコのチャージを1得る","독성 혼합물 투척\r\n플라스크 효과 200% 증가\r\n소유자의 생명력 플라스크 3초마다 1 충전","Arremessa Composto Venenoso\r\nEfeito de Frascos aumentado em 200%\r\nDono ganha 1 carga de frasco de vida a cada 3 segundos","Бросает Ядовитую смесь\r\n200% усиление эффекта флаконов\r\nВладелец получает 1 заряд флакона жизни каждые 3 секунды","Lanza Sustancia venenosa\r\nEfecto de los frascos aumentado un 200%\r\nSu dueño gana 1 carga de frasco de vida cada 3 segundos","โยน น้ำยาพิษร้าย (Poisonous Concoction)\r\nเพิ่มผลของ ขวดยา 200%\r\nเจ้าของ ได้รับ ชาร์จขวดยาพลังชีวิต 1 ชาร์จ ทุก 3 วินาที","投擲毒藥\r\n增加 200% 藥劑效果\r\n持有者每 3 秒獲得 1 生命藥劑充能",5
45,4836,10135,"","","","","","","","","","",2
46,4837,10136,"","","","","","","","","","",2
47,4838,10137,"","","","","","","","","","",2
48,4839,10193,"Creates moving Cursed Ground","Crée un Sol maudit mouvant","Erzeugt sich bewegenden verfluchten Boden","動く呪い領域を生成する","이동하는 저주받은 지대 생성","Cria Solo Maldito móvel","Создаёт подвижную Проклятую землю","Crea suelo maldito movedizo","สร้าง พื้นคำสาป ที่เคลื่อนที่ได้","製造移動的詛咒地面",3
49,4840,10194,"Creates moving Cursed Ground\r\nUses Smite","Crée un Sol maudit mouvant\r\nUtilise Châtiment","Erzeugt sich bewegenden verfluchten Boden\r\nNutzt Zerschmettern","動く呪い領域を生成する\r\nスマイトを使用する","이동하는 저주받은 지대 생성\r\n징벌 사용","Cria Solo Maldito móvel\r\nUsa Castigar","Создаёт подвижную Проклятую землю\r\nИспользует Кару","Crea suelo maldito movedizo\r\nUsa Aniquilación","สร้าง พื้นคำสาป ที่เคลื่อนที่ได้\r\nใช้ เฆี่ยนตี (Smite)","製造移動的詛咒地面\r\n使用雷鳴重擊",3
50,4841,10195,"Creates moving Cursed Ground\r\nUses Smite\r\nHexes can affect Hexproof Enemies","Crée un Sol maudit mouvant\r\nUtilise Châtiment\r\nLes Calamités peuvent affecter les Ennemis ayant la Protection contre les Calamités","Erzeugt sich bewegenden verfluchten Boden\r\nNutzt Zerschmettern\r\nVerhexungen können auf fluchgeschützte Gegner angewendet werden","動く呪い領域を生成する\r\nスマイトを使用する\r\n呪術は呪術無効化の敵に影響する","이동하는 저주받은 지대 생성\r\n징벌 사용\r\n사술이 사술 방지 적에게 영향을 줌","Cria Solo Maldito móvel\r\nUsa Castigar\r\nFeitiços podem afetar Inimigos Anti-Maldições","Создаёт подвижную Проклятую землю\r\nИспользует Кару\r\nПорчи могут действовать на Заговорённых врагов","Crea suelo maldito movedizo\r\nUsa Aniquilación\r\nLos maleficios pueden afectar a los enemigos con Antimaleficios","สร้าง พื้นคำสาป ที่เคลื่อนที่ได้\r\nใช้ เฆี่ยนตี (Smite)\r\nคำสาป ส่งผลต่อศัตรูที่ ป้องกันสาปสะกด","製造移動的詛咒地面\r\n使用雷鳴重擊\r\n咒術可以影響無咒敵人",3
51,4842,10147,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering","Invoque des squelettes\r\nTire des mortiers\r\nCrée une Offrande de chaos\r\nCrée une Offrande de feu","Beschwört Skelette\r\nFeuert Mörser\r\nErzeugt Chaosopfer\r\nErzeugt Feueropfer","スケルトンを召喚する\r\n弾を放つ\r\nカオスオファリングを生成する\r\nファイヤーオファリングを生成する","해골 소환\r\n박격포 발사\r\n카오스 공물 생성\r\n화염 공물 생성","Convoca Esqueletos\r\nDispara Morteiros\r\nCria Oferendas de Caos\r\nCria Oferendas de Fogo","Сотворяет скелетов\r\nОбстреливает мортирами\r\nСоздаёт подношение хаоса\r\nСоздаёт подношение огня","Invoca esqueletos\r\nDispara morteros\r\nCrea Ofrenda de caos\r\nCrea Ofrenda de fuego","อัญเชิญโครงกระดูก\r\nยิง ระเบิดไฟ\r\nสร้าง เครื่องเซ่นไหว้เคออส\r\nสร้าง เครื่องเซ่นไหว้ ไฟ","召喚骷髏\r\n發射迫擊砲\r\n製造混沌奉獻\r\n製造火焰奉獻",3
52,4843,10148,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks","Invoque des squelettes\r\nTire des mortiers\r\nCrée une Offrande de chaos\r\nCrée une Offrande de feu\r\nLes squelettes alliés inflige des Dégâts de feu et de chaos supplémentaires avec les attaques","Beschwört Skelette\r\nFeuert Mörser\r\nErzeugt Chaosopfer\r\nErzeugt Feueropfer\r\nVerbündete Skelette verursachen zusätzlichen Feuer- und Chaosschaden mit Angriffen","スケルトンを召喚する\r\n弾を放つ\r\nカオスオファリングを生成する\r\nファイヤーオファリングを生成する\r\n味方のスケルトンはアタックに火および混沌ダメージが追加される","해골 소환\r\n박격포 발사\r\n카오스 공물 생성\r\n화염 공물 생성\r\n아군 해골의 공격이 추가 화염 및 카오스 피해를 줌","Convoca Esqueletos\r\nDispara Morteiros\r\nCria Oferendas de Caos\r\nCria Oferendas de Fogo\r\nEsqueletos aliados causam danod e fogo e caos adicionais com ataques","Сотворяет скелетов\r\nОбстреливает мортирами\r\nСоздаёт подношение хаоса\r\nСоздаёт подношение огня\r\nСоюзные скелеты наносят дополнительный урон от огня и хаосом от атак","Invoca esqueletos\r\nDispara morteros\r\nCrea Ofrenda de caos\r\nCrea Ofrenda de fuego\r\nLos esqueletos aliados infligen daño de fuego y de caos adicional con ataques","อัญเชิญโครงกระดูก\r\nยิง ระเบิดไฟ\r\nสร้าง เครื่องเซ่นไหว้เคออส\r\nสร้าง เครื่องเซ่นไหว้ ไฟ\r\nโครงกระดูกของเพื่อน สร้างความเสียหาย ไฟและเคออส เพิ่มเติม ด้วยการโจมตี","召喚骷髏\r\n發射迫擊砲\r\n製造混沌奉獻\r\n製造火焰奉獻\r\n友方骷髏攻擊造成額外火焰和混沌傷害",3
53,4844,10149,"Summons skeletons\r\nFires mortars\r\nCreates Chaos Offering\r\nCreates Fire Offering\r\nAlly skeletons deal additional fire and chaos damage with attacks\r\nCasts Discipline","Invoque des squelettes\r\nTire des mortiers\r\nCrée une Offrande de chaos\r\nCrée une Offrande de feu\r\nLes squelettes alliés inflige des Dégâts de feu et de chaos supplémentaires avec les attaques\r\nUtilise Discipline","Beschwört Skelette\r\nFeuert Mörser\r\nErzeugt Chaosopfer\r\nErzeugt Feueropfer\r\nVerbündete Skelette verursachen zusätzlichen Feuer- und Chaosschaden mit Angriffen\r\nZaubert Disziplin","スケルトンを召喚する\r\n弾を放つ\r\nカオスオファリングを生成する\r\nファイヤーオファリングを生成する\r\n味方のスケルトンはアタックに火および混沌ダメージが追加される\r\nディシプリンをキャストする","해골 소환\r\n박격포 발사\r\n카오스 공물 생성\r\n화염 공물 생성\r\n아군 해골의 공격이 추가 화염 및 카오스 피해를 줌\r\n단련 시전","Convoca Esqueletos\r\nDispara Morteiros\r\nCria Oferendas de Caos\r\nCria Oferendas de Fogo\r\nEsqueletos aliados causam danod e fogo e caos adicionais com ataques\r\nConjura Disciplina","Сотворяет скелетов\r\nОбстреливает мортирами\r\nСоздаёт подношение хаоса\r\nСоздаёт подношение огня\r\nСоюзные скелеты наносят дополнительный урон от огня и хаосом от атак\r\nСотворяет Дисциплину","Invoca esqueletos\r\nDispara morteros\r\nCrea Ofrenda de caos\r\nCrea Ofrenda de fuego\r\nLos esqueletos aliados infligen daño de fuego y de caos adicional con ataques\r\nLanza Disciplina","อัญเชิญโครงกระดูก\r\nยิง ระเบิดไฟ\r\nสร้าง เครื่องเซ่นไหว้เคออส\r\nสร้าง เครื่องเซ่นไหว้ ไฟ\r\nโครงกระดูกของเพื่อน สร้างความเสียหาย ไฟและเคออส เพิ่มเติม ด้วยการโจมตี\r\nร่าย วินัย (Discipline)","召喚骷髏\r\n發射迫擊砲\r\n製造混沌奉獻\r\n製造火焰奉獻\r\n友方骷髏攻擊造成額外火焰和混沌傷害\r\n施放紀律",3
54,4845,10162,"Casts Dash of Destruction\r\nCasts Screech of Splendor","Utilise Élan de la Déstruction\r\nUtilise Cri strident de la Splendeur","Zaubert Anflug der Zerstörung\r\nZaubert Prachtschrei","破壊の突進をキャストする\r\n輝きの金切り声をキャストする","파괴의 질주 시전\r\n위풍의 비명 시전","Conjura Avanço da Destruição\r\nConjura Grito do Esplendor","Сотворяет Рывок разрушения\r\nСотворяет Крик великолепия","Lanza Embestida de destrucción\r\nLanza Chirrido de esplendor","ร่าย พุ่งทำลายล้าง\r\nร่าย กรีดร้องแจ่มจรัส","施放幻步．破壞\r\n施放海妖之嚎．輝煌",4
55,4846,10163,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure","Utilise Élan de la Déstruction\r\nUtilise Cri strident de la Splendeur\r\nCri strident de la Splendeur inflige l'Exposition à la foudre","Zaubert Anflug der Zerstörung\r\nZaubert Prachtschrei\r\nPrachtschrei verursacht Blitz-Anfälligkeit","破壊の突進をキャストする\r\n輝きの金切り声をキャストする\r\n輝きの金切り声は曝露（雷）を付与する","파괴의 질주 시전\r\n위풍의 비명 시전\r\n위풍의 비명이 번개 노출 유발","Conjura Avanço da Destruição\r\nConjura Grito do Esplendor\r\nGrito do Esplendor inflige Exposição a Raio","Сотворяет Рывок разрушения\r\nСотворяет Крик великолепия\r\nКрик великолепия накладывает Восприимчивость к молнии","Lanza Embestida de destrucción\r\nLanza Chirrido de esplendor\r\nChirrido de esplendor aplica exposición al rayo","ร่าย พุ่งทำลายล้าง\r\nร่าย กรีดร้องแจ่มจรัส\r\nกรีดร้องแจ่มจรัส สร้างสถานะ พ่ายแก่สายฟ้า","施放幻步．破壞\r\n施放海妖之嚎．輝煌\r\n海妖之嚎．輝煌造成閃電曝曬",4
56,4847,10164,"Casts Dash of Destruction\r\nCasts Screech of Splendor\r\nScreech of Splendor inflicts Lightning Exposure\r\nCasts Grace","Utilise Élan de la Déstruction\r\nUtilise Cri strident de la Splendeur\r\nCri strident de la Splendeur inflige l'Exposition à la foudre\r\nUtilise Grâce","Zaubert Anflug der Zerstörung\r\nZaubert Prachtschrei\r\nPrachtschrei verursacht Blitz-Anfälligkeit\r\nZaubert Anmut","破壊の突進をキャストする\r\n輝きの金切り声をキャストする\r\n輝きの金切り声は曝露（雷）を付与する\r\nグレースをキャストする","파괴의 질주 시전\r\n위풍의 비명 시전\r\n위풍의 비명이 번개 노출 유발\r\n은총 시전","Conjura Avanço da Destruição\r\nConjura Grito do Esplendor\r\nGrito do Esplendor inflige Exposição a Raio\r\nConjura Graça","Сотворяет Рывок разрушения\r\nСотворяет Крик великолепия\r\nКрик великолепия накладывает Восприимчивость к молнии\r\nСотворяет Грацию","Lanza Embestida de destrucción\r\nLanza Chirrido de esplendor\r\nChirrido de esplendor aplica exposición al rayo\r\nLanza Gracia","ร่าย พุ่งทำลายล้าง\r\nร่าย กรีดร้องแจ่มจรัส\r\nกรีดร้องแจ่มจรัส สร้างสถานะ พ่ายแก่สายฟ้า\r\nร่าย สง่างาม (Grace)","施放幻步．破壞\r\n施放海妖之嚎．輝煌\r\n海妖之嚎．輝煌造成閃電曝曬\r\n施放優雅",4
57,4848,10141,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp","Utilise Nova d'électricité\r\nUtilise Étincelle\r\nUtilise Téléportation foudroyante","Zaubert Schocknova\r\nZaubert Funken\r\nZaubert Blitzteleportation","ショックノヴァをキャストする\r\nスパークをキャストする\r\nライトニングワープをキャストする","충격 폭발 시전\r\n전기불꽃 시전\r\n번개 차원 이동 시전","Conjura Nova Elétrica\r\nConjura Faísca\r\nConjura Armadilha Relampejante","Сотворяет Кольцо молний\r\nСотворяет Искру\r\nСотворяет Грозовой переход","Lanza Nova de rayo\r\nLanza Chispa\r\nLanza Teletransporte de rayo","ร่าย สายฟ้ากระจาย (Shock Nova)\r\nร่าย ประกายสายฟ้า (Spark)\r\nร่าย วาร์ปสายฟ้า (Lightning Warp)","施放閃電新星\r\n施放電球\r\n施放閃電傳送",2
58,4849,10142,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath","Utilise Nova d'électricité\r\nUtilise Étincelle\r\nUtilise Téléportation foudroyante\r\nUtilise Fureur","Zaubert Schocknova\r\nZaubert Funken\r\nZaubert Blitzteleportation\r\nZaubert Zorn","ショックノヴァをキャストする\r\nスパークをキャストする\r\nライトニングワープをキャストする\r\nラースをキャストする","충격 폭발 시전\r\n전기불꽃 시전\r\n번개 차원 이동 시전\r\n진노 시전","Conjura Nova Elétrica\r\nConjura Faísca\r\nConjura Armadilha Relampejante\r\nDonjura Ira","Сотворяет Кольцо молний\r\nСотворяет Искру\r\nСотворяет Грозовой переход\r\nСотворяет Грозный гнев","Lanza Nova de rayo\r\nLanza Chispa\r\nLanza Teletransporte de rayo\r\nLanza Cólera","ร่าย สายฟ้ากระจาย (Shock Nova)\r\nร่าย ประกายสายฟ้า (Spark)\r\nร่าย วาร์ปสายฟ้า (Lightning Warp)\r\nร่าย พิโรธ (Wrath)","施放閃電新星\r\n施放電球\r\n施放閃電傳送\r\n施放雷霆",2
59,4850,10143,"Casts Shock Nova\r\nCasts Spark\r\nCasts Lightning Warp\r\nCasts Wrath\r\nLightning Damage of nearby allies is Lucky","Utilise Nova d'électricité\r\nUtilise Étincelle\r\nUtilise Téléportation foudroyante\r\nUtilise Fureur\r\nLes Dégâts de foudre des alliés sont Favorables","Zaubert Schocknova\r\nZaubert Funken\r\nZaubert Blitzteleportation\r\nZaubert Zorn\r\nBlitzschaden von Verbündeten im Umkreis ist günstig","ショックノヴァをキャストする\r\nスパークをキャストする\r\nライトニングワープをキャストする\r\nラースをキャストする\r\n周囲の味方の雷ダメージは幸運となる","충격 폭발 시전\r\n전기불꽃 시전\r\n번개 차원 이동 시전\r\n진노 시전\r\n주변 동료들의 번개 피해에 행운 적용","Conjura Nova Elétrica\r\nConjura Faísca\r\nConjura Armadilha Relampejante\r\nDonjura Ira\r\nDano de Raio dos aliados próximos é Sortudo","Сотворяет Кольцо молний\r\nСотворяет Искру\r\nСотворяет Грозовой переход\r\nСотворяет Грозный гнев\r\nУрон от молнии ближайших союзников удачлив","Lanza Nova de rayo\r\nLanza Chispa\r\nLanza Teletransporte de rayo\r\nLanza Cólera\r\nEl daño de rayo de los aliados cercanos es afortunado","ร่าย สายฟ้ากระจาย (Shock Nova)\r\nร่าย ประกายสายฟ้า (Spark)\r\nร่าย วาร์ปสายฟ้า (Lightning Warp)\r\nร่าย พิโรธ (Wrath)\r\nเพื่อนที่อยู่ใกล้ โชคดี ในการคำนวณความเสียหาย สายฟ้า ที่สร้าง","施放閃電新星\r\n施放電球\r\n施放閃電傳送\r\n施放雷霆\r\n附近友方的閃電害很幸運",2
60,4851,10106,"Casts Lightning Burst","Utilise Explosion de foudre","Zaubert einen Blitz","ライトニングバーストをキャストする","번개 격발 시전","Conjura Explosão Relampejante","Сотворяет вспышку молнии","Lanza un Estallido de rayo","ร่าย สายฟ้าปะทุ","施放閃電爆破",0
61,4852,10107,"Casts Lightning Burst\r\nCasts Clarity","Utilise Explosion de foudre\r\nUtilise Clarté","Zaubert einen Blitz\r\nZaubert Klarheit","ライトニングバーストをキャストする\r\nクラリティをキャストする","번개 격발 시전\r\n명상 시전","Conjura Explosão Relampejante\r\nConjura Clareza","Сотворяет вспышку молнии\r\nСотворяет Ясность ума","Lanza un Estallido de rayo\r\nLanza Claridad","ร่าย สายฟ้าปะทุ\r\nร่าย กระจ่าง (Clarity)","施放閃電爆破\r\n施放清晰",0
62,4853,10108,"Casts Lightning Burst inflicting Sap on Hit\r\nCasts Clarity","Utilise Explosion de foudre, infligeant l'Amoindrissement au Toucher\r\nUtilise Clarté","Zaubert einen Blitz und wendet bei Treffer Auslaugen an\r\nZaubert Klarheit","ヒット時に消耗を付与するライトニングバーストをキャストする\r\nクラリティをキャストする","번개 격발을 시전하여 명중 시 활력 감소 유발\r\n명상 시전","Conjura Explosão Relampejante, infligindo Exaurir ao Acertar\r\nConjura Clareza","Сотворяет вспышку молнии, вызывающую Ошеломление при попадани\r\nСотворяет Ясность ума","Lanza un Estallido de rayo que aplica debilidad con cada golpe\r\nLanza Claridad","ร่าย สายฟ้าปะทุ ที่สร้างสถานะ อ่อนแรง เมื่อปะทะ\r\nร่าย กระจ่าง","施放閃電爆破，擊中時造成殘喘\r\n施放清晰",0
63,4854,10153,"20% increased Physical Weapon Damage per 10 Strength","20% d'Augmentation des Dégâts physiques de l'Arme tous les 10 de Force","20% erhöhter physischer Waffenschaden pro 10 Stärke","筋力10ごとに武器物理ダメージが20％増加する","힘 10당 물리 무기 피해 20% 증가","Dano Físico da Arma aumentado em 20% por cada 10 de Força","20% увеличение физического урона оружием за каждые 10 силы","Daño físico de las armas aumentado un 20% por cada 10 de fuerza","เพิ่มความเสียหาย อาวุธ กายภาพ 20% ต่อ Strength 10 หน่วย","每 10 力量，增加 20% 物理武器傷害",3
64,4855,10154,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit","20% d'Augmentation des Dégâts physiques de l'Arme tous les 10 de Force\r\nÉcrase au Toucher","20% erhöhter physischer Waffenschaden pro 10 Stärke\r\nZermalmt bei Treffer","筋力10ごとに武器物理ダメージが20％増加する\r\nヒット時に破砕を付与する","힘 10당 물리 무기 피해 20% 증가\r\n명중 시 타쇄","Dano Físico da Arma aumentado em 20% por cada 10 de Força\r\nEsmaga ao Acertar","20% увеличение физического урона оружием за каждые 10 силы\r\nСокрушает при ударе","Daño físico de las armas aumentado un 20% por cada 10 de fuerza\r\nAplasta con cada golpe","เพิ่มความเสียหาย อาวุธ กายภาพ 20% ต่อ Strength 10 หน่วย\r\nสร้างสถานะ บดขยี้ เมื่อปะทะ","每 10 力量，增加 20% 物理武器傷害\r\n擊中時壓碎",3
65,4856,10155,"20% increased Physical Weapon Damage per 10 Strength\r\nCrushes on Hit\r\nOwner gains 5% More Physical Attack Damage","20% d'Augmentation des Dégâts physiques de l'Arme tous les 10 de Force\r\nÉcrase au Toucher\r\nLe propriétaire gagne 5% davantage de Dégâts physiques des attaques","20% erhöhter physischer Waffenschaden pro 10 Stärke\r\nZermalmt bei Treffer\r\nBesitzer erhält 5% mehr physischen Angriffsschaden","筋力10ごとに武器物理ダメージが20％増加する\r\nヒット時に破砕を付与する\r\n所有者は物理アタックダメージが5％上昇する","힘 10당 물리 무기 피해 20% 증가\r\n명중 시 타쇄\r\n소유자의 물리 공격 피해 5% 증폭","Dano Físico da Arma aumentado em 20% por cada 10 de Força\r\nEsmaga ao Acertar\r\nDono recebe 5% mais Dano Físico com Ataques","20% увеличение физического урона оружием за каждые 10 силы\r\nСокрушает при ударе\r\nВладелец наносит на 5% больше физического урона атаками","Daño físico de las armas aumentado un 20% por cada 10 de fuerza\r\nAplasta con cada golpe\r\nEl dueño gana un 5% más de daño físico con los ataques","เพิ่มความเสียหาย อาวุธ กายภาพ 20% ต่อ Strength 10 หน่วย\r\nสร้างสถานะ บดขยี้ เมื่อปะทะ\r\nเจ้าของ มีความเสียหาย โจมตี กายภาพ เพิ่มขึ้น อีก 5%","每 10 力量，增加 20% 物理武器傷害\r\n擊中時壓碎\r\n持有者獲得 5% 更多物理攻擊傷害",3
66,4857,10190,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call","Utilise Bond percutant\r\nUtilise Balayage\r\nUtilise Cri d'endurance\r\nUtilise Clameur d'immortalité","Nutzt Sprunghieb\r\nNutzt Rundumschlag\r\nNutzt Widerstandsschrei\r\nNutzt Schrei der Unsterblichkeit","リープスラムを使用する\r\nスウィープを使用する\r\nエンデュアリングクライを使用する\r\nイモータルコールを使用する","도약 강타 사용\r\n휩쓸기 사용\r\n인내의 함성 사용\r\n불멸의 외침 사용","Usa Salto Impactante\r\nUsa Arrastão\r\nUsa Clamor Tolerante\r\nUsa Chamado Imortal","Использует Наскок\r\nИспользует Круговой взмах\r\nИспользует Клич стойкости\r\nИспользует Призыв к бессмертию","Usa Salto con impacto\r\nUsa Barrido\r\nUsa Grito de aguante\r\nUsa Llamado inmortal","ใช้ กระโจนทุบ (Leap Slam)\r\nใช้ ควง (Sweep)\r\nใช้ คำรามทนทาน (Enduring Cry)\r\nใช้ เรียกความอมตะ (Immortal Call)","使用躍擊\r\n使用橫掃\r\n使用堅決戰吼\r\n使用不朽戰吼",5
67,4858,10191,"Uses Leap Slam\r\nUses Sweep\r\nUses Enduring Cry\r\nUses Immortal call\r\nCasts Vitality","Utilise Bond percutant\r\nUtilise Balayage\r\nUtilise Cri d'endurance\r\nUtilise Clameur d'immortalité\r\nUtilise Vitalité","Nutzt Sprunghieb\r\nNutzt Rundumschlag\r\nNutzt Widerstandsschrei\r\nNutzt Schrei der Unsterblichkeit\r\nZaubert Vitalität","リープスラムを使用する\r\nスウィープを使用する\r\nエンデュアリングクライを使用する\r\nイモータルコールを使用する\r\nバイタリティをキャストする","도약 강타 사용\r\n휩쓸기 사용\r\n인내의 함성 사용\r\n불멸의 외침 사용\r\n활력 시전","Usa Salto Impactante\r\nUsa Arrastão\r\nUsa Clamor Tolerante\r\nUsa Chamado Imortal\r\nConjura Vitalidade","Использует Наскок\r\nИспользует Круговой взмах\r\nИспользует Клич стойкости\r\nИспользует Призыв к бессмертию\r\nСотворяет Живучесть","Usa Salto con impacto\r\nUsa Barrido\r\nUsa Grito de aguante\r\nUsa Llamado inmortal\r\nLanza Vitalidad","ใช้ กระโจนทุบ (Leap Slam)\r\nใช้ ควง (Sweep)\r\nใช้ คำรามทนทาน (Enduring Cry)\r\nใช้ เรียกความอมตะ (Immortal Call)\r\nร่าย กำลังวังชา (Vitality)","使用躍擊\r\n使用橫掃\r\n使用堅決戰吼\r\n使用不朽戰吼\r\n施放活力",5
